,Reactant SMILES,Reactant SMILES_2,Product SMILES,Product SMILES_2,Catalyst SMILES,Ligand SMILES,Solvent SMILES,Solvent SMILES_2,Additive SMILES,Additive SMILES_2,Additive SMILES_s2,Ref.(DOI),LED step 2,Number of Coordination Atoms 1,pdf name (don't include '.pdf'),L/M 1,S/C 1,Reaction Temperature/C step 2,Reaction Temperature/C,Ligand Name 2,Yield 3,dr 3,Central Metal of Catalyst 2,dr 1,Ligand 2 Type,Product Name 3,Additive 2 step 2,Ammount of additive 1,Product 1 R or S,ee 3,Ammount of additive 2,(Pre)Catalyst Name 2,"Molecular Sieve(3A, 4A, 5A)",Yield 1,Solvent 1 ammount(mL),Charge of Ligand 1,Charge of Ligand 2,Ammount of additive 1 step 2,Central Metal of Catalyst 1,Ligand 1 Type,Pre catalyst 2(True or False),Ammount of reactant 1(mmol),Ammount of Molecular Sieve(mg),Reaction Time/h,LED,Pre catalyst 1(True or False),dr 2,Reaction ID,Yield 2,Valence of Central Metal 1,"Other information(use ""-"" to split, eg. 'property1-property2')",Product 2 R or S,Solvent 2 ammount(mL),Type of Coordination Atoms 1,L/M 2,Pressure/atm,Number of Coordination Atoms 2,Valence of Central Metal 2,Type of Coordination Atoms 2,Reaction Time/h step 2,ee 1,S/C 2,Ammount of additive 2 step 2,ee 2,Reaction Type,Product 3 R or S,Solvent Ratio,Ammount of reactant 2(mmol)
0,[H]C(CCC1=CC=CC=C1)=O,C[N+]([O-])=O,[H]C(C[C@H](C[N+]([O-])=O)C1=CC=CC=C1)=O,,C[Si](OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3)(C)C,,C1CCOC1,CO,O=C(C(C#N)=C(C#N)C1=O)C(Cl)=C1Cl,,O=C(C1=CC=CC=C1)O,10.1002_adsc.201300919,,,10.1002_adsc.201300919,,5,25,25,,,,,,,,,0.4,S,,,,,0.05,1.6,,,0.96,,,,0.4,,6,,False,,1,,0,,,0.8,,,,,,,48,,,,,1,,,4
1,[H]C(CCC1=CC=CC=C1)=O,C[N+]([O-])=O,[H]C(C[C@H](C[N+]([O-])=O)C1=CC=CC=C1)=O,,C[Si](OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3)(C)C,,C1CCOC1,CO,O=C(C(C#N)=C(C#N)C1=O)C(Cl)=C1Cl,,OC1=CC=C([N+]([O-])=O)C=C1,10.1002_adsc.201300919,,,10.1002_adsc.201300919,,5,25,25,,,,,,,,,0.4,S,,,,,0.05,1.6,,,0.96,,,,0.4,,6,,False,,2,,0,,,0.8,,,,,,,48,,,,,1,,,4
2,[H]C(CCC1=CC=CC=C1)=O,C[N+]([O-])=O,[H]C(C[C@H](C[N+]([O-])=O)C1=CC=CC=C1)=O,,C[Si](OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3)(C)C,,C1CCOC1,CO,O=C(C(C#N)=C(C#N)C1=O)C(Cl)=C1Cl,,O=P(O)([O-])O.[K+],10.1002_adsc.201300919,,,10.1002_adsc.201300919,,5,25,25,,,,,,,,,0.4,S,,,,,0.05,1.6,,,0.96,,,,0.4,,6,,False,,3,,0,,,0.8,,,,,,,48,,,,,1,,,4
3,[H]C(CCC1=CC=CC=C1)=O,C[N+]([O-])=O,[H]C(C[C@H](C[N+]([O-])=O)C1=CC=CC=C1)=O,,C[Si](OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3)(C)C,,C1CCOC1,CO,O=C(C(C#N)=C(C#N)C1=O)C(Cl)=C1Cl,,O=P(O)([O-])[O-].[Na+].[Na+],10.1002_adsc.201300919,,,10.1002_adsc.201300919,,5,25,25,,,,,,,,,0.4,S,,,,,0.36,1.6,,,0.96,,,,0.4,,6,,False,,4,,0,,,0.8,,,,,,,48,0.93,,,,1,,,4
4,[H]C(CCC1=CC=CC=C1)=O,C[N+]([O-])=O,[H]C(C[C@H](C[N+]([O-])=O)C1=CC=CC=C1)=O,,C[Si](OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3)(C)C,,C1CCOC1,CO,O=C(C(C#N)=C(C#N)C1=O)C(Cl)=C1Cl,,O=C([O-])O.[Na+],10.1002_adsc.201300919,,,10.1002_adsc.201300919,,5,25,25,,,,,,,,,0.4,S,,,,,0.38,1.6,,,0.96,,,,0.4,,6,,False,,5,,0,,,0.8,,,,,,,48,0.9,,,,1,,,4
5,[H]C(CCC1=CC=CC=C1)=O,C[N+]([O-])=O,[H]C(C[C@H](C[N+]([O-])=O)C1=CC=CC=C1)=O,,C[Si](OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3)(C)C,,C1CCOC1,CO,O=C(C(C#N)=C(C#N)C1=O)C(Cl)=C1Cl,,CCN(CC)CC,10.1002_adsc.201300919,,,10.1002_adsc.201300919,,5,25,25,,,,,,,,,0.4,S,,,,,0.5,1.6,,,0.96,,,,0.4,,6,,False,,6,,0,,,0.8,,,,,,,48,0.85,,,,1,,,4
6,[H]C(CCC1=CC=CC=C1)=O,C[N+]([O-])=O,[H]C(C[C@H](C[N+]([O-])=O)C1=CC=CC=C1)=O,,C[Si](OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3)(C)C,,C1CCOC1,CO,O=C(C(C#N)=C(C#N)C1=O)C(Cl)=C1Cl,,[H][N+]([H])([H])[H].CC([O-])=O,10.1002_adsc.201300919,,,10.1002_adsc.201300919,,5,25,25,,,,,,,,,0.4,S,,,,,0.36,1.6,,,0.96,,,,0.4,,6,,False,,7,,0,,,0.8,,,,,,,48,0.92,,,,1,,,4
7,[H]C(CCC1=CC=CC=C1)=O,C[N+]([O-])=O,[H]C(C[C@H](C[N+]([O-])=O)C1=CC=CC=C1)=O,,C[Si](OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3)(C)C,,C1CCOC1,CO,O=C(C(C#N)=C(C#N)C1=O)C(Cl)=C1Cl,,CC([O-])=O.[Li+],10.1002_adsc.201300919,,,10.1002_adsc.201300919,,5,25,25,,,,,,,,,0.4,S,,,,,0.53,1.6,,,0.96,,,,0.4,,6,,False,,8,,0,,,0.8,,,,,,,24,0.94,,,,1,,,4
8,[H]C(CCC1=CC=CC=C1)=O,C[N+]([O-])=O,[H]C(C[C@H](C[N+]([O-])=O)C1=CC=CC=C1)=O,,C[Si](OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3)(C)C,,C1CCOC1,CO,O=C(C(C#N)=C(C#N)C1=O)C(Cl)=C1Cl,,CC([O-])=O.[Na+],10.1002_adsc.201300919,,,10.1002_adsc.201300919,,5,25,25,,,,,,,,,0.4,S,,,,,0.76,1.6,,,0.96,,,,0.4,,6,,False,,9,,0,,,0.8,,,,,,,24,0.92,,,,1,,,4
9,[H]C(CCC1=CC=CC=C1)=O,C[N+]([O-])=O,[H]C(C[C@H](C[N+]([O-])=O)C1=CC=CC=C1)=O,,C[Si](OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3)(C)C,,C1CCOC1,CO,O=C(C(C#N)=C(C#N)C1=O)C(Cl)=C1Cl,O=[Mn]=O,CC([O-])=O.[Na+],10.1002_adsc.201300919,,,10.1002_adsc.201300919,,5,25,25,,,,,,,,,0.04,S,,0.8,,,0.73,1.6,,,0.096,,,,0.4,,6,,False,,10,,0,,,0.8,,,,,,,24,0.95,,,,1,,,4
10,[H]C(CCC1=CC=CC=C1)=O,C[N+]([O-])=O,[H]C(C[C@H](C[N+]([O-])=O)C1=CC=CC=C1)=O,,C[Si](OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3)(C)C,,C1CCOC1,CO,O=C(C(C#N)=C(C#N)C1=O)C(Cl)=C1Cl,O=[Mn]=O,CC([O-])=O.[Na+],10.1002_adsc.201300919,,,10.1002_adsc.201300919,,10,25,25,,,,,,,,,0.04,S,,0.8,,,0.72,1.6,,,0.04,,,,0.4,,6,,False,,11,,0,,,0.8,,,,,,,24,0.96,,,,1,,,4
11,[H]C(CCC1=CC=CC=C1)=O,C[N+]([O-])=O,[H]C(C[C@H](C[N+]([O-])=O)C1=CC=CC=C1)=O,,C[Si](OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3)(C)C,,C1CCOC1,CO,O=C(C(C#N)=C(C#N)C1=O)C(Cl)=C1Cl,O=[Mn]=O,CC([O-])=O.[Na+],10.1002_adsc.201300919,,,10.1002_adsc.201300919,,10,25,25,,,,,,,,,0.04,S,,0.8,,,0.56,1.6,,,0.02,,,,0.4,,6,,False,,12,,0,,,0.8,,,,,,,24,0.95,,,,1,,,4
12,[H]C(CCC1=CC=CC=C1)=O,C[N+]([O-])=O,[H]C(C[C@H](C[N+]([O-])=O)C1=CC=CC=C1)=O,,C[Si](OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3)(C)C,,C1CCOC1,CO,O=C(C(C#N)=C(C#N)C1=O)C(Cl)=C1Cl,,CC([O-])=O.[Na+],10.1002_adsc.201300919,,,10.1002_adsc.201300919,,10,25,25,,,,,,,,,0.4,S,,,,,0.75,1.6,,,0.96,,,,0.4,,6,,False,,13,,0,,,0.8,,,,,,,12,0.92,,,,1,,,4
13,[H]C(CCC1=CC=C(OC)C=C1)=O,C[N+]([O-])=O,[H]C(C[C@H](C[N+]([O-])=O)C1=CC=C(OC)C=C1)=O,,C[Si](OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3)(C)C,,C1CCOC1,CO,O=C(C(C#N)=C(C#N)C1=O)C(Cl)=C1Cl,,CC([O-])=O.[Na+],10.1002_adsc.201300919,,,10.1002_adsc.201300919,,10,25,25,,,,,,,,,0.4,S,,,,,0.77,1.6,,,0.96,,,,0.4,,6,,False,,14,,0,,,0.8,,,,,,,12,0.95,,,,1,,,4
