Reaction ID,Reaction Type,Reactant Name 1,Ammount of reactant 1(mmol),Reactant Name 2,Ammount of reactant 2(mmol),Product Name 1,Product Name 2,Product Name 3,Product 1 R or S,Product 2 R or S,Product 3 R or S,Solvent 1,Solvent 2,Solvent Ratio,Solvent 1 ammount(mL),Solvent 2 ammount(mL),Additive 1,Ammount of additive 1,Additive 2,Ammount of additive 2,Additive 1 step 2,Ammount of additive 1 step 2,Additive 2 step 2,Ammount of additive 2 step 2,"Molecular Sieve(3A, 4A, 5A)",Ammount of Molecular Sieve(mg),Pre catalyst 1(True or False),(Pre)Catalyst Name 1,Ligand Name 1,Central Metal of Catalyst 1,Valence of Central Metal 1,Charge of Ligand 1,Ligand 1 Type,Number of Coordination Atoms 1,Type of Coordination Atoms 1,Pre catalyst 2(True or False),(Pre)Catalyst Name 2,Ligand Name 2,Central Metal of Catalyst 2,Valence of Central Metal 2,Charge of Ligand 2,Ligand 2 Type,Number of Coordination Atoms 2,Type of Coordination Atoms 2,Reaction Time/h,Reaction Temperature/C,LED,Reaction Time/h step 2,Reaction Temperature/C step 2,LED step 2,Yield 1,ee 1,Yield 2,ee 2,Yield 3,ee 3,dr 1,dr 2,dr 3,Pressure/atm,S/C 1,S/C 2,L/M 1,L/M 2,Ref.(DOI),pdf name (don't include '.pdf'),"Other information(use ""-"" to split, eg. 'property1-property2')"
33,1,"N,N-diisopropylformamide",0.2,"1,2-bis(4-methoxyphenyl)ethyne",0.4,"(R)-1-isopropyl-3,4-bis(4-methoxyphenyl)-6-methyl-5,6-dihydropyridin-2(1H)-one",,,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L22,Ni,0,0,,1,P,,,,,,,,,,2,80,,,,,0.78,0.92,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
34,1,"N,N-diisopropylformamide",0.2,"1,2-bis(4-(trifluoromethoxy)phenyl)ethyne",0.4,"(R)-1-isopropyl-6-methyl-3,4-bis(4-(trifluoromethoxy)phenyl)-5,6-dihydropyridin-2(1H)-one",,,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L22,Ni,0,0,,1,P,,,,,,,,,,2,80,,,,,0.54,0.92,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
35,1,"N,N-diisopropylformamide",0.2,"1,2-bis(4-fluorophenyl)ethyne",0.4,"(R)-3,4-bis(4-fluorophenyl)-1-isopropyl-6-methyl-5,6-dihydropyridin-2(1H)-one",,,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L22,Ni,0,0,,1,P,,,,,,,,,,2,80,,,,,0.63,0.95,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
36,1,"N,N-diisopropylformamide",0.2,"1,2-bis(3-fluorophenyl)ethyne",0.4,"(R)-3,4-bis(3-fluorophenyl)-1-isopropyl-6-methyl-5,6-dihydropyridin-2(1H)-one",,,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L22,Ni,0,0,,1,P,,,,,,,,,,2,80,,,,,0.53,0.9,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
37,1,"N,N-diisopropylformamide",0.2,"1,2-bis(2-fluorophenyl)ethyne",0.4,"(R)-3,4-bis(2-fluorophenyl)-1-isopropyl-6-methyl-5,6-dihydropyridin-2(1H)-one",,,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L22,Ni,0,0,,1,P,,,,,,,,,,2,80,,,,,0.84,0.91,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
38,1,"N,N-diisopropylformamide",0.2,1-methyl-6-((1-methyl-1H-indol-5-yl)ethynyl)-1H-indole,0.4,"(R)-1-isopropyl-6-methyl-4-(1-methyl-1H-indol-5-yl)-3-(1-methyl-1H-indol-6-yl)-5,6-dihydropyridin-2(1H)-one",,,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L22,Ni,0,0,,1,P,,,,,,,,,,2,80,,,,,0.48,0.93,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
39,1,"N,N-diisopropylformamide",0.2,"1,2-di(thiophen-3-yl)ethyne",0.4,"(R)-1-isopropyl-6-methyl-3,4-di(thiophen-3-yl)-5,6-dihydropyridin-2(1H)-one",,,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L22,Ni,0,0,,1,P,,,,,,,,,,2,80,,,,,0.4,0.9,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
40,1,"N,N-diisopropylformamide",0.2,hex-1-yn-1-ylbenzene,0.4,"(R)-3-butyl-1-isopropyl-6-methyl-4-phenyl-5,6-dihydropyridin-2(1H)-one",,,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L22,Ni,0,0,,1,P,,,,,,,,,,2,80,,,,,0.59,0.93,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
41,1,"N,N-diisopropylformamide",0.2,"4,4-dimethylpent-2-yne",0.4,"(R)-3-(tert-butyl)-1-isopropyl-4,6-dimethyl-5,6-dihydropyridin-2(1H)-one",,,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L22,Ni,0,0,,1,P,,,,,,,,,,2,80,,,,,0.54,0.89,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
42,1,"N,N-diisopropylformamide",0.2,oct-4-yne,0.4,"(R)-1-isopropyl-6-methyl-3,4-dipropyl-5,6-dihydropyridin-2(1H)-one",,,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L22,Ni,0,0,,1,P,,,,,,,,,,2,80,,,,,0.9,0.91,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
