,Reactant SMILES,Reactant SMILES_2,Product SMILES,Product SMILES_2,Catalyst SMILES,Ligand SMILES,Solvent SMILES,Solvent SMILES_2,Additive SMILES,Additive SMILES_2,Additive SMILES_s2,Ref.(DOI),LED step 2,Number of Coordination Atoms 1,pdf name (don't include '.pdf'),L/M 1,S/C 1,Reaction Temperature/C step 2,Reaction Temperature/C,Ligand Name 2,Yield 3,dr 3,Central Metal of Catalyst 2,dr 1,Ligand 2 Type,Product Name 3,Additive 2 step 2,Ammount of additive 1,Product 1 R or S,ee 3,Ammount of additive 2,(Pre)Catalyst Name 2,"Molecular Sieve(3A, 4A, 5A)",Yield 1,Solvent 1 ammount(mL),Charge of Ligand 1,Charge of Ligand 2,Ammount of additive 1 step 2,Central Metal of Catalyst 1,Ligand 1 Type,Pre catalyst 2(True or False),Ammount of reactant 1(mmol),Ammount of Molecular Sieve(mg),Reaction Time/h,LED,Pre catalyst 1(True or False),dr 2,Reaction ID,Yield 2,Valence of Central Metal 1,"Other information(use ""-"" to split, eg. 'property1-property2')",Product 2 R or S,Solvent 2 ammount(mL),Type of Coordination Atoms 1,L/M 2,Pressure/atm,Number of Coordination Atoms 2,Valence of Central Metal 2,Type of Coordination Atoms 2,Reaction Time/h step 2,ee 1,S/C 2,Ammount of additive 2 step 2,ee 2,Reaction Type,Product 3 R or S,Solvent Ratio,Ammount of reactant 2(mmol)
19,[H]C(N(C(C)C)C(C)C)=O,CCCC#CCCC,O=C1N(C(C)C)[C@H](C)CC(CCC)=C1CCC,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],O=P1N(CC(C)(C)C)C(C=CC2=C3C=CC=C2)=[C@]3[C@@]4=C(C=CC=C5)C5=CC=C4N1CC(C)(C)C,CC1=CC=CC=C1,,CC(C[Al](CC(C)C)CC(C)C)C,,,10.1002_ange.202209625,,1,10.1002_ange.202209625,1,20,,100,,,,,,,,,0.08,R,,,,,0.86,0.5,0,,,Ni,,,0.2,,12,,True,,20,,0,,,,P,,,,,,,0.46,,,,1,,,0.4
20,[H]C(N(C(C)C)C(C)C)=O,CCCC#CCCC,O=C1N(C(C)C)[C@H](C)CC(CCC)=C1CCC,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],O=P1N(CC2=CC=CC=C2)C(C=CC3=C4CCCC3)=[C@]4[C@@]5=C(CCCC6)C6=CC=C5N1CC7=CC=CC=C7,CC1=CC=CC=C1,,CC(C[Al](CC(C)C)CC(C)C)C,,,10.1002_ange.202209625,,1,10.1002_ange.202209625,1,20,,100,,,,,,,,,0.08,R,,,,,0.76,0.5,0,,,Ni,,,0.2,,12,,True,,21,,0,,,,P,,,,,,,0.59,,,,1,,,0.4
21,[H]C(N(C(C)C)C(C)C)=O,CCCC#CCCC,O=C1N(C(C)C)[C@H](C)CC(CCC)=C1CCC,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],O=P1N(CC(C)(C)C)C(C=CC2=C3CCCC2)=[C@]3[C@@]4=C(CCCC5)C5=CC=C4N1CC(C)(C)C,CC1=CC=CC=C1,,CC(C[Al](CC(C)C)CC(C)C)C,,,10.1002_ange.202209625,,1,10.1002_ange.202209625,1,20,,100,,,,,,,,,0.08,R,,,,,0.92,0.5,0,,,Ni,,,0.2,,12,,True,,22,,0,,,,P,,,,,,,0.9,,,,1,,,0.4
22,[H]C(N(C(C)C)C(C)C)=O,CCCC#CCCC,O=C1N(C(C)C)[C@H](C)CC(CCC)=C1CCC,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],O=P1N(CC(C)(C)C)C(C=CC2=C3CCCC2)=[C@]3[C@@]4=C(CCCC5)C5=CC=C4N1CC(C)(C)C,CC1=CC=CC=C1,,CC(C[Al](CC(C)C)CC(C)C)C,,,10.1002_ange.202209625,,1,10.1002_ange.202209625,1,20,,80,,,,,,,,,0.08,R,,,,,0.92,0.5,0,,,Ni,,,0.2,,2,,True,,23,,0,,,,P,,,,,,,0.91,,,,1,,,0.4
23,[H]C(N(C(C)C)C(C)C)=O,CCC#CCC,C[C@H](CC(CC)=C1CC)N(C(C)C)C1=O,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],O=P1N(CC(C)(C)C)C(C=CC2=C3CCCC2)=[C@]3[C@@]4=C(CCCC5)C5=CC=C4N1CC(C)(C)C,CC1=CC=CC=C1,,CC(C[Al](CC(C)C)CC(C)C)C,,,10.1002_ange.202209625,,1,10.1002_ange.202209625,1,20,,80,,,,,,,,,0.08,R,,,,,0.83,0.5,0,,,Ni,,,0.2,,2,,True,,24,,0,,,,P,,,,,,,0.93,,,,1,,,0.4
24,[H]C(N(C(C)C)C(C)C)=O,CCCCCC(C#CC(CCCCC)=O)=O,C[C@H](CC(C(CCCCC)=O)=C1C(CCCCC)=O)N(C(C)C)C1=O,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],O=P1N(CC(C)(C)C)C(C=CC2=C3CCCC2)=[C@]3[C@@]4=C(CCCC5)C5=CC=C4N1CC(C)(C)C,CC1=CC=CC=C1,,CC(C[Al](CC(C)C)CC(C)C)C,,,10.1002_ange.202209625,,1,10.1002_ange.202209625,1,20,,80,,,,,,,,,0.08,R,,,,,0.86,0.5,0,,,Ni,,,0.2,,2,,True,,25,,0,,,,P,,,,,,,0.93,,,,1,,,0.4
25,[H]C(N(C(C)C)C(C)C)=O,CC(CCC#CCCC(C)C)C,C[C@H](CC(CCC(C)C)=C1CCC(C)C)N(C(C)C)C1=O,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],O=P1N(CC(C)(C)C)C(C=CC2=C3CCCC2)=[C@]3[C@@]4=C(CCCC5)C5=CC=C4N1CC(C)(C)C,CC1=CC=CC=C1,,CC(C[Al](CC(C)C)CC(C)C)C,,,10.1002_ange.202209625,,1,10.1002_ange.202209625,1,20,,80,,,,,,,,,0.08,R,,,,,0.93,0.5,0,,,Ni,,,0.2,,2,,True,,26,,0,,,,P,,,,,,,0.93,,,,1,,,0.4
26,[H]C(N(C(C)C)C(C)C)=O,COCCCC#CCCCOC,C[C@H](CC(CCCOC)=C1CCCOC)N(C(C)C)C1=O,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],O=P1N(CC(C)(C)C)C(C=CC2=C3CCCC2)=[C@]3[C@@]4=C(CCCC5)C5=CC=C4N1CC(C)(C)C,CC1=CC=CC=C1,,CC(C[Al](CC(C)C)CC(C)C)C,,,10.1002_ange.202209625,,1,10.1002_ange.202209625,1,20,,80,,,,,,,,,0.08,R,,,,,0.48,0.5,0,,,Ni,,,0.2,,2,,True,,27,,0,,,,P,,,,,,,0.9,,,,1,,,0.4
27,[H]C(N(C(C)C)C(C)C)=O,C1(C#CC2=CC=CC=C2)=CC=CC=C1,C[C@H](CC(C1=CC=CC=C1)=C2C3=CC=CC=C3)N(C(C)C)C2=O,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],O=P1N(CC(C)(C)C)C(C=CC2=C3CCCC2)=[C@]3[C@@]4=C(CCCC5)C5=CC=C4N1CC(C)(C)C,CC1=CC=CC=C1,,CC(C[Al](CC(C)C)CC(C)C)C,,,10.1002_ange.202209625,,1,10.1002_ange.202209625,1,20,,80,,,,,,,,,0.08,R,,,,,0.67,0.5,0,,,Ni,,,0.2,,2,,True,,28,,0,,,,P,,,,,,,0.92,,,,1,,,0.4
28,[H]C(N(C(C)C)C(C)C)=O,CC(C=C1)=CC=C1C#CC2=CC=C(C)C=C2,C[C@H](CC(C1=CC=C(C)C=C1)=C2C3=CC=C(C)C=C3)N(C(C)C)C2=O,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],O=P1N(CC(C)(C)C)C(C=CC2=C3CCCC2)=[C@]3[C@@]4=C(CCCC5)C5=CC=C4N1CC(C)(C)C,CC1=CC=CC=C1,,CC(C[Al](CC(C)C)CC(C)C)C,,,10.1002_ange.202209625,,1,10.1002_ange.202209625,1,20,,80,,,,,,,,,0.08,R,,,,,0.81,0.5,0,,,Ni,,,0.2,,2,,True,,29,,0,,,,P,,,,,,,0.94,,,,1,,,0.4
