,Reactant SMILES,Reactant SMILES_2,Product SMILES,Product SMILES_2,Catalyst SMILES,Ligand SMILES,Solvent SMILES,Solvent SMILES_2,Additive SMILES,Additive SMILES_2,Additive SMILES_s2,Ref.(DOI),LED step 2,Number of Coordination Atoms 1,pdf name (don't include '.pdf'),L/M 1,S/C 1,Reaction Temperature/C step 2,Reaction Temperature/C,Ligand Name 2,Yield 3,dr 3,Central Metal of Catalyst 2,dr 1,Ligand 2 Type,Product Name 3,Additive 2 step 2,Ammount of additive 1,Product 1 R or S,ee 3,Ammount of additive 2,(Pre)Catalyst Name 2,"Molecular Sieve(3A, 4A, 5A)",Yield 1,Solvent 1 ammount(mL),Charge of Ligand 1,Charge of Ligand 2,Ammount of additive 1 step 2,Central Metal of Catalyst 1,Ligand 1 Type,Pre catalyst 2(True or False),Ammount of reactant 1(mmol),Ammount of Molecular Sieve(mg),Reaction Time/h,LED,Pre catalyst 1(True or False),dr 2,Reaction ID,Yield 2,Valence of Central Metal 1,"Other information(use ""-"" to split, eg. 'property1-property2')",Product 2 R or S,Solvent 2 ammount(mL),Type of Coordination Atoms 1,L/M 2,Pressure/atm,Number of Coordination Atoms 2,Valence of Central Metal 2,Type of Coordination Atoms 2,Reaction Time/h step 2,ee 1,S/C 2,Ammount of additive 2 step 2,ee 2,Reaction Type,Product 3 R or S,Solvent Ratio,Ammount of reactant 2(mmol)
0,IC1=CC=CC=C1OCC(C2=CC=CC=C2)=C,C[Si](C)(C)[Si](C)(C)C,C[Si](C(C=CC=C1)=C1[C@@]2(C[Si](C)(C)C)C(C=CC=C3)=C3OC2)(C)C,,CC([O-])=O.CC([O-])=O.[Pd+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CC#N,,[O-]P([O-])([O-])=O.[K+].[K+].[K+].[K+].[K+].[K+],,,10.1002_ajoc.202100502,,1,10.1002_ajoc.202100502,2,10,,70,,,,,,,,,0.5,S,,,,,0.97,2,0,,,Pd,,,0.2,,12,,True,,1.0,,2,,,,P,,,,,,,,,,,1.0,,,1.6
1,IC1=CC=CC=C1OCC(C2=CC=CC=C2)=C,C[Si](C)(C)[Si](C)(C)C,C[Si](C(C=CC=C1)=C1[C@@]2(C[Si](C)(C)C)C(C=CC=C3)=C3OC2)(C)C,,CC([O-])=O.CC([O-])=O.[Pd+2],CN1[C@@H](C2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4)[C@H](C5=C(P(C6=CC=CC=C6)C7=CC=CC=C7)C=CC=C5)N(C)[C@H]8[C@H]1CCCC8,CC#N,,[O-]P([O-])([O-])=O.[K+].[K+].[K+].[K+].[K+].[K+],,,10.1002_ajoc.202100502,,2,10.1002_ajoc.202100502,2,10,,70,,,,,,,,,0.5,S,,,,,0.4,2,0,,,Pd,,,0.2,,12,,True,,2.0,,2,,,,"P,P",,,,,,,0.05,,,,,,,1.6
2,IC1=CC=CC=C1OCC(C2=CC=CC=C2)=C,C[Si](C)(C)[Si](C)(C)C,C[Si](C(C=CC=C1)=C1[C@@]2(C[Si](C)(C)C)C(C=CC=C3)=C3OC2)(C)C,,CC([O-])=O.CC([O-])=O.[Pd+2],OC(C(P(C1=CC=CC=C1)C2=CC=CC=C2)=CC3=C4C=CC=C3)=[C@@]4[C@]5=C(C=CC=C6)C6=CC=C5[C@@H](O)C7=CC=CC=C7[Si](CC)(CC)CC,CC#N,,[O-]P([O-])([O-])=O.[K+].[K+].[K+].[K+].[K+].[K+],,,10.1002_ajoc.202100502,,1,10.1002_ajoc.202100502,2,10,,70,,,,,,,,,0.5,S,,,,,0.96,2,0,,,Pd,,,0.2,,12,,True,,3.0,,2,,,,P,,,,,,,-0.07,,,,,,,1.6
3,IC1=CC=CC=C1OCC(C2=CC=CC=C2)=C,C[Si](C)(C)[Si](C)(C)C,C[Si](C(C=CC=C1)=C1[C@@]2(C[Si](C)(C)C)C(C=CC=C3)=C3OC2)(C)C,,CC([O-])=O.CC([O-])=O.[Pd+2],CCCCN(P1OC(C(C2=CC=CC=C2)=CC3=C4C=CC=C3)=[C@]4[C@@]5=C(C=CC=C6)C6=CC(C7=CC=CC=C7)=C5O1)CCCC,CC#N,,[O-]P([O-])([O-])=O.[K+].[K+].[K+].[K+].[K+].[K+],,,10.1002_ajoc.202100502,,1,10.1002_ajoc.202100502,2,10,,70,,,,,,,,,0.5,S,,,,,0.96,2,0,,,Pd,,,0.2,,12,,True,,4.0,,2,,,,P,,,,,,,0.0,,,,,,,1.6
4,IC1=CC=CC=C1OCC(C2=CC=CC=C2)=C,C[Si](C)(C)[Si](C)(C)C,C[Si](C(C=CC=C1)=C1[C@@]2(C[Si](C)(C)C)C(C=CC=C3)=C3OC2)(C)C,,CC([O-])=O.CC([O-])=O.[Pd+2],O=[P@]1(O)OC(C=CC2C3CCCC2)=C3C4=C(CCCC5)C5=CC=C4O1,CC#N,,[O-]P([O-])([O-])=O.[K+].[K+].[K+].[K+].[K+].[K+],,,10.1002_ajoc.202100502,,1,10.1002_ajoc.202100502,2,10,,70,,,,,,,,,0.5,S,,,,,0.9,2,0,,,Pd,,,0.2,,12,,True,,5.0,,2,,,,O,,,,,,,-0.03,,,,,,,1.6
5,IC1=CC=CC=C1OCC(C2=CC=CC=C2)=C,C[Si](C)(C)[Si](C)(C)C,C[Si](C(C=CC=C1)=C1[C@@]2(C[Si](C)(C)C)C(C=CC=C3)=C3OC2)(C)C,,CC([O-])=O.CC([O-])=O.[Pd+2],CN([S@@](C(C)(C)C)=O)[C@H](C1=CC=CC=C1)C2=CC=CC=C2P([C@]34C[C@H]5C[C@H](C[C@H](C5)C4)C3)[C@]67C[C@H]8C[C@H](C[C@H](C8)C7)C6,CC#N,,[O-]P([O-])([O-])=O.[K+].[K+].[K+].[K+].[K+].[K+],,,10.1002_ajoc.202100502,,2,10.1002_ajoc.202100502,2,10,,70,,,,,,,,,0.5,S,,,,,0.97,2,0,,,Pd,,,0.2,,12,,True,,6.0,,2,,,,"P,N",,,,,,,0.0,,,,,,,1.6
6,IC1=CC=CC=C1OCC(C2=CC=CC=C2)=C,C[Si](C)(C)[Si](C)(C)C,C[Si](C(C=CC=C1)=C1[C@@]2(C[Si](C)(C)C)C(C=CC=C3)=C3OC2)(C)C,,CC([O-])=O.CC([O-])=O.[Pd+2],[C@]1([C@@]2=C(OCO3)C3=CC=C2P(C4=CC=CC=C4)C5=CC=CC=C5)=C(P(C6=CC=CC=C6)C7=CC=CC=C7)C=CC8=C1OCO8,CC#N,,[O-]P([O-])([O-])=O.[K+].[K+].[K+].[K+].[K+].[K+],,,10.1002_ajoc.202100502,,2,10.1002_ajoc.202100502,2,10,,70,,,,,,,,,0.5,S,,,,,,2,0,,,Pd,,,0.2,,12,,True,,7.0,,2,,,,"P,P",,,,,,,,,,,,,,1.6
7,IC1=CC=CC=C1OCC(C2=CC=CC=C2)=C,C[Si](C)(C)[Si](C)(C)C,C[Si](C(C=CC=C1)=C1[C@@]2(C[Si](C)(C)C)C(C=CC=C3)=C3OC2)(C)C,,CC([O-])=O.CC([O-])=O.[Pd+2],CC(O1)(C)O[C@@H]2[C@@H]1C(C3=CC=CC=C3)(C4=CC=CC=C4)OP(N5CCCCC5)OC2(C6=CC=CC=C6)C7=CC=CC=C7,CC#N,,[O-]P([O-])([O-])=O.[K+].[K+].[K+].[K+].[K+].[K+],,,10.1002_ajoc.202100502,,1,10.1002_ajoc.202100502,2,10,,70,,,,,,,,,0.5,S,,,,,0.94,2,0,,,Pd,,,0.2,,12,,True,,8.0,,2,,,,P,,,,,,,0.13,,,,,,,1.6
8,IC1=CC=CC=C1OCC(C2=CC=CC=C2)=C,C[Si](C)(C)[Si](C)(C)C,C[Si](C(C=CC=C1)=C1[C@@]2(C[Si](C)(C)C)C(C=CC=C3)=C3OC2)(C)C,,CC([O-])=O.CC([O-])=O.[Pd+2],CC1=CC(C2(C3=CC(C)=CC(C)=C3)[C@H](OC(CC)(CC)O4)[C@@H]4C(C5=CC(C)=CC(C)=C5)(C6=CC(C)=CC(C)=C6)OP(N(CC7=CC=CC=C7)CC)O2)=CC(C)=C1,CC#N,,[O-]P([O-])([O-])=O.[K+].[K+].[K+].[K+].[K+].[K+],,,10.1002_ajoc.202100502,,1,10.1002_ajoc.202100502,2,10,,70,,,,,,,,,0.5,S,,,,,0.48,2,0,,,Pd,,,0.2,,12,,True,,9.0,,2,,,,P,,,,,,,0.45,,,,,,,1.6
9,IC1=CC=CC=C1OCC(C2=CC=CC=C2)=C,C[Si](C)(C)[Si](C)(C)C,C[Si](C(C=CC=C1)=C1[C@@]2(C[Si](C)(C)C)C(C=CC=C3)=C3OC2)(C)C,,CC([O-])=O.CC([O-])=O.[Pd+2],CC1=CC(C2(C3=CC(C)=CC(C)=C3)[C@H](OC(CC)(CC)O4)[C@@H]4C(C5=CC(C)=CC(C)=C5)(C6=CC(C)=CC(C)=C6)OP(N(CC7=CC=CC=C7)CC)O2)=CC(C)=C1,CC#N,,[O-]P([O-])([O-])=O.[K+].[K+].[K+].[K+].[K+].[K+],,,10.1002_ajoc.202100502,,1,10.1002_ajoc.202100502,2,10,,70,,,,,,,,,0.5,S,,,,,0.63,2,0,,,Pd,,,0.2,,12,,True,,10.0,,2,,,,P,,,,,,,0.0,,,,,,,0.4
