Reaction ID,Reaction Type,Reactant Name 1,Ammount of reactant 1(mmol),Reactant Name 2,Ammount of reactant 2(mmol),Product Name 1,Product Name 2,Product Name 3,Product 1 R or S,Product 2 R or S,Product 3 R or S,Solvent 1,Solvent 2,Solvent Ratio,Solvent 1 ammount(mL),Solvent 2 ammount(mL),Additive 1,Ammount of additive 1,Additive 2,Ammount of additive 2,Additive 1 step 2,Ammount of additive 1 step 2,Additive 2 step 2,Ammount of additive 2 step 2,"Molecular Sieve(3A, 4A, 5A)",Ammount of Molecular Sieve(mg),Pre catalyst 1(True or False),(Pre)Catalyst Name 1,Ligand Name 1,Central Metal of Catalyst 1,Valence of Central Metal 1,Charge of Ligand 1,Ligand 1 Type,Number of Coordination Atoms 1,Type of Coordination Atoms 1,Pre catalyst 2(True or False),(Pre)Catalyst Name 2,Ligand Name 2,Central Metal of Catalyst 2,Valence of Central Metal 2,Charge of Ligand 2,Ligand 2 Type,Number of Coordination Atoms 2,Type of Coordination Atoms 2,Reaction Time/h,Reaction Temperature/C,LED,Reaction Time/h step 2,Reaction Temperature/C step 2,LED step 2,Yield 1,ee 1,Yield 2,ee 2,Yield 3,ee 3,dr 1,dr 2,dr 3,Pressure/atm,S/C 1,S/C 2,L/M 1,L/M 2,Ref.(DOI),pdf name (don't include '.pdf'),"Other information(use ""-"" to split, eg. 'property1-property2')"
1,4,1-(4-methoxyphenyl)ethan-1-one,0.1,2H-chromene,0.15,1-(2-(chroman-2-yl)-4-methoxyphenyl)ethan-1-one,,,,,,toluene,,,0.2,,NaBARF,0.01,,,,,,,,,TRUE,[IrCl(cod)]2,(R)-BINAP,Ir,1,0,,2,"P,P",,,,,,,,,,18,80,,,,,0.88,0.84,,,,,,,,,20,,1.2,,10.1002_adsc.201801664,10.1002_adsc.201801664,
2,4,1-(4-methoxyphenyl)ethan-1-one,0.1,2H-chromene,0.15,1-(2-(chroman-2-yl)-4-methoxyphenyl)ethan-1-one,,,,,,toluene,,,0.2,,NaBARF,0.01,,,,,,,,,TRUE,[IrCl(cod)]2,(R)-DMBINAP,Ir,1,0,,2,"P,P",,,,,,,,,,18,80,,,,,0.86,0.89,,,,,,,,,20,,1.2,,10.1002_adsc.201801664,10.1002_adsc.201801664,
3,4,1-(4-methoxyphenyl)ethan-1-one,0.1,2H-chromene,0.15,1-(2-(chroman-2-yl)-4-methoxyphenyl)ethan-1-one,,,,,,toluene,,,0.2,,NaBARF,0.01,,,,,,,,,TRUE,[IrCl(cod)]2,(R)-TolBINAP,Ir,1,0,,2,"P,P",,,,,,,,,,18,80,,,,,0.49,0.68,,,,,,,,,20,,1.2,,10.1002_adsc.201801664,10.1002_adsc.201801664,
4,4,1-(4-methoxyphenyl)ethan-1-one,0.1,2H-chromene,0.15,1-(2-(chroman-2-yl)-4-methoxyphenyl)ethan-1-one,,,,,,toluene,,,0.2,,NaBARF,0.01,,,,,,,,,TRUE,[IrCl(cod)]2,(R)-BINAP_2,Ir,1,0,,2,"P,P",,,,,,,,,,18,80,,,,,0.94,0.87,,,,,,,,,20,,1.2,,10.1002_adsc.201801664,10.1002_adsc.201801664,
5,4,1-(4-methoxyphenyl)ethan-1-one,0.1,2H-chromene,0.15,1-(2-(chroman-2-yl)-4-methoxyphenyl)ethan-1-one,,,,,,toluene,,,0.2,,NaBARF,0.01,,,,,,,,,TRUE,[IrCl(cod)]2,(R)-segphos,Ir,1,0,,2,"P,P",,,,,,,,,,18,80,,,,,0.94,0.84,,,,,,,,,20,,1.2,,10.1002_adsc.201801664,10.1002_adsc.201801664,
6,4,1-(4-methoxyphenyl)ethan-1-one,0.1,2H-chromene,0.15,1-(2-(chroman-2-yl)-4-methoxyphenyl)ethan-1-one,,,,,,toluene,,,0.2,,NaBARF,0.01,,,,,,,,,TRUE,[IrCl(cod)]2,(R)-DMsegphos,Ir,1,0,,2,"P,P",,,,,,,,,,18,80,,,,,0.88,0.89,,,,,,,,,20,,1.2,,10.1002_adsc.201801664,10.1002_adsc.201801664,
7,4,1-(4-methoxyphenyl)ethan-1-one,0.1,2H-chromene,0.15,1-(2-(chroman-2-yl)-4-methoxyphenyl)ethan-1-one,,,,,,toluene,,,0.2,,NaBARF,0.01,,,,,,,,,TRUE,[IrCl(cod)]2,(R)-DTBMsegphos,Ir,1,0,,2,"P,P",,,,,,,,,,18,80,,,,,0,,,,,,,,,,20,,1.2,,10.1002_adsc.201801664,10.1002_adsc.201801664,
8,4,1-(4-methoxyphenyl)ethan-1-one,0.1,2H-chromene,0.15,1-(2-(chroman-2-yl)-4-methoxyphenyl)ethan-1-one,,,,,,toluene,,,0.2,,NaBARF,0.01,,,,,,,,,TRUE,[IrCl(cod)]2,(R)-MeObiphep,Ir,1,0,,2,"P,P",,,,,,,,,,18,80,,,,,0.94,0.85,,,,,,,,,20,,1.2,,10.1002_adsc.201801664,10.1002_adsc.201801664,
9,4,1-(4-methoxyphenyl)ethan-1-one,0.1,2H-chromene,0.15,1-(2-(chroman-2-yl)-4-methoxyphenyl)ethan-1-one,,,,,,toluene,,,0.2,,NaBARF,0.01,,,,,,,,,TRUE,[IrCl(cod)]2,"(R)-3,5-xylyl-MeObiphep",Ir,1,0,,2,"P,P",,,,,,,,,,18,80,,,,,0.91,0.88,,,,,,,,,20,,1.2,,10.1002_adsc.201801664,10.1002_adsc.201801664,
10,4,1-(4-methoxyphenyl)ethan-1-one,0.1,2H-chromene,0.15,1-(2-(chroman-2-yl)-4-methoxyphenyl)ethan-1-one,,,,,,toluene,,,0.2,,NaBARF,0.01,,,,,,,,,TRUE,[IrCl(cod)]2,Josiphos,Ir,1,0,,2,"P,P",,,,,,,,,,18,80,,,,,0,,,,,,,,,,20,,1.2,,10.1002_adsc.201801664,10.1002_adsc.201801664,
11,4,1-(4-methoxyphenyl)ethan-1-one,0.1,2H-chromene,0.15,1-(2-(chroman-2-yl)-4-methoxyphenyl)ethan-1-one,,,,,,toluene,,,0.2,,NaBARF,0.01,,,,,,,,,TRUE,[IrCl(cod)]2,"(R,R)-dipamp",Ir,1,0,,2,"P,P",,,,,,,,,,18,80,,,,,0,,,,,,,,,,20,,1.2,,10.1002_adsc.201801664,10.1002_adsc.201801664,
12,4,1-(4-methoxyphenyl)ethan-1-one,0.1,2H-chromene,0.15,1-(2-(chroman-2-yl)-4-methoxyphenyl)ethan-1-one,,,,,,toluene,,,0.2,,NaBARF,0.01,,,,,,,,,TRUE,[IrCl(cod)]2,"(R,R)-QuinoxP",Ir,1,0,,2,"P,P",,,,,,,,,,18,80,,,,,0,,,,,,,,,,20,,1.2,,10.1002_adsc.201801664,10.1002_adsc.201801664,
13,4,1-(4-methoxyphenyl)ethan-1-one,0.1,2H-chromene,0.15,1-(2-(chroman-2-yl)-4-methoxyphenyl)ethan-1-one,,,,,,toluene,,,0.2,,NaBARF,0.01,,,,,,,,,FALSE,[IrCl(cod)]2,,Ir,1,0,,,,,,,,,,,,,18,80,,,,,0,,,,,,,,,,20,,1.2,,10.1002_adsc.201801664,10.1002_adsc.201801664,
14,1,1-(4-methoxyphenyl)ethan-1-one,0.2,2H-chromene,0.3,(S)-1-(2-(chroman-2-yl)-4-methoxyphenyl)ethan-1-one,,,S,,,toluene,,,0.2,,NaBARF,0.02,,,,,,,,,TRUE,[IrCl(cod)]2,(R)-DMsegphos,Ir,1,0,,2,"P,P",,,,,,,,,,48,80,,,,,0.86,0.91,,,,,,,,,20,,1.2,,10.1002_adsc.201801664,10.1002_adsc.201801664,
15,1,1-(p-tolyl)ethan-1-one,0.2,2H-chromene,0.3,(S)-1-(2-(chroman-2-yl)-4-methylphenyl)ethan-1-one,,,S,,,toluene,,,0.4,,NaBARF,0.02,,,,,,,,,TRUE,[IrCl(cod)]2,(R)-DMsegphos,Ir,1,0,,2,"P,P",,,,,,,,,,48,80,,,,,0.85,0.87,,,,,,,,,20,,1.2,,10.1002_adsc.201801664,10.1002_adsc.201801664,
16,1,1-(4-(dimethylamino)phenyl)ethan-1-one,0.2,2H-chromene,0.3,(S)-1-(2-(chroman-2-yl)-4-(dimethylamino)phenyl)ethan-1-one,,,S,,,toluene,,,0.4,,NaBARF,0.02,,,,,,,,,TRUE,[IrCl(cod)]2,(R)-DMsegphos,Ir,1,0,,2,"P,P",,,,,,,,,,48,80,,,,,0.79,0.94,,,,,,,,,20,,1.2,,10.1002_adsc.201801664,10.1002_adsc.201801664,
17,1,1-(4-chlorophenyl)ethan-1-one,0.2,2H-chromene,0.3,(S)-1-(4-chloro-2-(chroman-2-yl)phenyl)ethan-1-one,,,S,,,toluene,,,0.4,,NaBARF,0.02,,,,,,,,,TRUE,[IrCl(cod)]2,(R)-DMsegphos,Ir,1,0,,2,"P,P",,,,,,,,,,48,80,,,,,0.71,0.83,,,,,,,,,20,,1.2,,10.1002_adsc.201801664,10.1002_adsc.201801664,
18,1,1-(4-fluorophenyl)ethan-1-one,0.2,2H-chromene,0.3,(S)-1-(2-(chroman-2-yl)-4-fluorophenyl)ethan-1-one,,,S,,,toluene,,,0.4,,NaBARF,0.02,,,,,,,,,TRUE,[IrCl(cod)]2,(R)-DMsegphos,Ir,1,0,,2,"P,P",,,,,,,,,,48,80,,,,,0.91,0.81,,,,,,,,,20,,1.2,,10.1002_adsc.201801664,10.1002_adsc.201801664,
19,1,"1-(4-(1,2,2-triphenylvinyl)phenyl)ethan-1-one",0.2,2H-chromene,0.3,"(S)-1-(2-(chroman-2-yl)-4-(1,2,2-triphenylvinyl)phenyl)ethan-1-one",,,S,,,toluene,,,0.4,,NaBARF,0.02,,,,,,,,,TRUE,[IrCl(cod)]2,(R)-BINAP,Ir,1,0,,2,"P,P",,,,,,,,,,48,80,,,,,0.95,0.81,,,,,,,,,20,,1.2,,10.1002_adsc.201801664,10.1002_adsc.201801664,
20,1,1-(m-tolyl)ethan-1-one,0.2,2H-chromene,0.3,(S)-1-(2-(chroman-2-yl)-5-methylphenyl)ethan-1-one,,,S,,,toluene,,,0.4,,NaBARF,0.02,,,,,,,,,TRUE,[IrCl(cod)]2,(R)-DMsegphos,Ir,1,0,,2,"P,P",,,,,,,,,,48,80,,,,,0.76,0.77,,,,,,,,,20,,1.2,,10.1002_adsc.201801664,10.1002_adsc.201801664,
