,Reactant SMILES,Reactant SMILES_2,Product SMILES,Product SMILES_2,Catalyst SMILES,Ligand SMILES,Solvent SMILES,Solvent SMILES_2,Additive SMILES,Additive SMILES_2,Additive SMILES_s2,Ref.(DOI),LED step 2,Number of Coordination Atoms 1,pdf name (don't include '.pdf'),L/M 1,S/C 1,Reaction Temperature/C step 2,Reaction Temperature/C,Ligand Name 2,Yield 3,dr 3,Central Metal of Catalyst 2,dr 1,Ligand 2 Type,Product Name 3,Additive 2 step 2,Ammount of additive 1,Product 1 R or S,ee 3,Ammount of additive 2,(Pre)Catalyst Name 2,"Molecular Sieve(3A, 4A, 5A)",Yield 1,Solvent 1 ammount(mL),Charge of Ligand 1,Charge of Ligand 2,Ammount of additive 1 step 2,Central Metal of Catalyst 1,Ligand 1 Type,Pre catalyst 2(True or False),Ammount of reactant 1(mmol),Ammount of Molecular Sieve(mg),Reaction Time/h,LED,Pre catalyst 1(True or False),dr 2,Reaction ID,Yield 2,Valence of Central Metal 1,"Other information(use ""-"" to split, eg. 'property1-property2')",Product 2 R or S,Solvent 2 ammount(mL),Type of Coordination Atoms 1,L/M 2,Pressure/atm,Number of Coordination Atoms 2,Valence of Central Metal 2,Type of Coordination Atoms 2,Reaction Time/h step 2,ee 1,S/C 2,Ammount of additive 2 step 2,ee 2,Reaction Type,Product 3 R or S,Solvent Ratio,Ammount of reactant 2(mmol)
0,CC(C1=CC=C(OC)C=C1)=O,C1(OCC=C2)=C2C=CC=C1,CC(C(C=CC(OC)=C1)=C1C(CC2)OC3=C2C=CC=C3)=O,,C1C/C=C\CC/C=C\1.C2C/C=C\CC/C=C\2.[Ir+].[Cl-].[Ir+].[Cl-],C12=C(C=CC=C2)C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=[C@]1[C@]5=C(P(C6=CC=CC=C6)C7=CC=CC=C7)C=CC8=C5C=CC=C8,CC1=CC=CC=C1,,FC(C1=CC(C(F)(F)F)=CC([B-](C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=C1)(F)F.[Na+],,,10.1002_adsc.201801664,,2.0,10.1002_adsc.201801664,1.2,20,,80,,,,,,,,,0.01,,,,,,0.88,0.2,0,,,Ir,,,0.1,,18,,True,,1,,1,,,,"P,P",,,,,,,0.84,,,,4,,,0.15
1,CC(C1=CC=C(OC)C=C1)=O,C1(OCC=C2)=C2C=CC=C1,CC(C(C=CC(OC)=C1)=C1C(CC2)OC3=C2C=CC=C3)=O,,C1C/C=C\CC/C=C\1.C2C/C=C\CC/C=C\2.[Ir+].[Cl-].[Ir+].[Cl-],CC1=CC(P(C2=CC(C)=CC(C)=C2)C(C=CC3=C4C=CC=C3)=[C@@]4[C@]5=C(C=CC=C6)C6=CC=C5P(C7=CC(C)=CC(C)=C7)C8=CC(C)=CC(C)=C8)=CC(C)=C1,CC1=CC=CC=C1,,FC(C1=CC(C(F)(F)F)=CC([B-](C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=C1)(F)F.[Na+],,,10.1002_adsc.201801664,,2.0,10.1002_adsc.201801664,1.2,20,,80,,,,,,,,,0.01,,,,,,0.86,0.2,0,,,Ir,,,0.1,,18,,True,,2,,1,,,,"P,P",,,,,,,0.89,,,,4,,,0.15
2,CC(C1=CC=C(OC)C=C1)=O,C1(OCC=C2)=C2C=CC=C1,CC(C(C=CC(OC)=C1)=C1C(CC2)OC3=C2C=CC=C3)=O,,C1C/C=C\CC/C=C\1.C2C/C=C\CC/C=C\2.[Ir+].[Cl-].[Ir+].[Cl-],CC1=CC=C(P(C(C=C2)=CC=C2C)C(C=CC3=C4C=CC=C3)=[C@@]4[C@]5=C(C=CC=C6)C6=CC=C5P(C(C=C7)=CC=C7C)C(C=C8)=CC=C8C)C=C1,CC1=CC=CC=C1,,FC(C1=CC(C(F)(F)F)=CC([B-](C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=C1)(F)F.[Na+],,,10.1002_adsc.201801664,,2.0,10.1002_adsc.201801664,1.2,20,,80,,,,,,,,,0.01,,,,,,0.49,0.2,0,,,Ir,,,0.1,,18,,True,,3,,1,,,,"P,P",,,,,,,0.68,,,,4,,,0.15
3,CC(C1=CC=C(OC)C=C1)=O,C1(OCC=C2)=C2C=CC=C1,CC(C(C=CC(OC)=C1)=C1C(CC2)OC3=C2C=CC=C3)=O,,C1C/C=C\CC/C=C\1.C2C/C=C\CC/C=C\2.[Ir+].[Cl-].[Ir+].[Cl-],CC(C=C(P(C(C=C1C)=CC(C)=C1OC)C2=C(C3=C(P(C(C=C4C)=CC(C)=C4OC)C(C=C5C)=CC(C)=C5OC)C=CC6=C3C=CC=C6)C7=C(C=CC=C7)C=C2)C=C8C)=C8OC,CC1=CC=CC=C1,,FC(C1=CC(C(F)(F)F)=CC([B-](C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=C1)(F)F.[Na+],,,10.1002_adsc.201801664,,2.0,10.1002_adsc.201801664,1.2,20,,80,,,,,,,,,0.01,,,,,,0.94,0.2,0,,,Ir,,,0.1,,18,,True,,4,,1,,,,"P,P",,,,,,,0.87,,,,4,,,0.15
4,CC(C1=CC=C(OC)C=C1)=O,C1(OCC=C2)=C2C=CC=C1,CC(C(C=CC(OC)=C1)=C1C(CC2)OC3=C2C=CC=C3)=O,,C1C/C=C\CC/C=C\1.C2C/C=C\CC/C=C\2.[Ir+].[Cl-].[Ir+].[Cl-],[C@]1([C@@]2=C(OCO3)C3=CC=C2P(C4=CC=CC=C4)C5=CC=CC=C5)=C(P(C6=CC=CC=C6)C7=CC=CC=C7)C=CC8=C1OCO8,CC1=CC=CC=C1,,FC(C1=CC(C(F)(F)F)=CC([B-](C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=C1)(F)F.[Na+],,,10.1002_adsc.201801664,,2.0,10.1002_adsc.201801664,1.2,20,,80,,,,,,,,,0.01,,,,,,0.94,0.2,0,,,Ir,,,0.1,,18,,True,,5,,1,,,,"P,P",,,,,,,0.84,,,,4,,,0.15
5,CC(C1=CC=C(OC)C=C1)=O,C1(OCC=C2)=C2C=CC=C1,CC(C(C=CC(OC)=C1)=C1C(CC2)OC3=C2C=CC=C3)=O,,C1C/C=C\CC/C=C\1.C2C/C=C\CC/C=C\2.[Ir+].[Cl-].[Ir+].[Cl-],CC1=CC(C)=CC(P(C2=CC(C)=CC(C)=C2)C(C=CC3=C4OCO3)=[C@@]4[C@]5=C(OCO6)C6=CC=C5P(C7=CC(C)=CC(C)=C7)C8=CC(C)=CC(C)=C8)=C1,CC1=CC=CC=C1,,FC(C1=CC(C(F)(F)F)=CC([B-](C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=C1)(F)F.[Na+],,,10.1002_adsc.201801664,,2.0,10.1002_adsc.201801664,1.2,20,,80,,,,,,,,,0.01,,,,,,0.88,0.2,0,,,Ir,,,0.1,,18,,True,,6,,1,,,,"P,P",,,,,,,0.89,,,,4,,,0.15
6,CC(C1=CC=C(OC)C=C1)=O,C1(OCC=C2)=C2C=CC=C1,CC(C(C=CC(OC)=C1)=C1C(CC2)OC3=C2C=CC=C3)=O,,C1C/C=C\CC/C=C\1.C2C/C=C\CC/C=C\2.[Ir+].[Cl-].[Ir+].[Cl-],CC(C)(C)C1=C(OC)C(C(C)(C)C)=CC(P(C2=CC(C(C)(C)C)=C(OC)C(C(C)(C)C)=C2)C(C=CC3=C4OCO3)=[C@@]4[C@]5=C(OCO6)C6=CC=C5P(C7=CC(C(C)(C)C)=C(OC)C(C(C)(C)C)=C7)C8=CC(C(C)(C)C)=C(OC)C(C(C)(C)C)=C8)=C1,CC1=CC=CC=C1,,FC(C1=CC(C(F)(F)F)=CC([B-](C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=C1)(F)F.[Na+],,,10.1002_adsc.201801664,,2.0,10.1002_adsc.201801664,1.2,20,,80,,,,,,,,,0.01,,,,,,0.0,0.2,0,,,Ir,,,0.1,,18,,True,,7,,1,,,,"P,P",,,,,,,,,,,4,,,0.15
7,CC(C1=CC=C(OC)C=C1)=O,C1(OCC=C2)=C2C=CC=C1,CC(C(C=CC(OC)=C1)=C1C(CC2)OC3=C2C=CC=C3)=O,,C1C/C=C\CC/C=C\1.C2C/C=C\CC/C=C\2.[Ir+].[Cl-].[Ir+].[Cl-],COC1=CC=CC(P(C2=CC=CC=C2)C3=CC=CC=C3)=[C@@]1[C@@]4=C(OC)C=CC=C4P(C5=CC=CC=C5)C6=CC=CC=C6,CC1=CC=CC=C1,,FC(C1=CC(C(F)(F)F)=CC([B-](C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=C1)(F)F.[Na+],,,10.1002_adsc.201801664,,2.0,10.1002_adsc.201801664,1.2,20,,80,,,,,,,,,0.01,,,,,,0.94,0.2,0,,,Ir,,,0.1,,18,,True,,8,,1,,,,"P,P",,,,,,,0.85,,,,4,,,0.15
8,CC(C1=CC=C(OC)C=C1)=O,C1(OCC=C2)=C2C=CC=C1,CC(C(C=CC(OC)=C1)=C1C(CC2)OC3=C2C=CC=C3)=O,,C1C/C=C\CC/C=C\1.C2C/C=C\CC/C=C\2.[Ir+].[Cl-].[Ir+].[Cl-],CC1=CC(P(C2=CC(C)=CC(C)=C2)C(C=CC=C3OC)=[C@@]3[C@]4=C(OC)C=CC=C4P(C5=CC(C)=CC(C)=C5)C6=CC(C)=CC(C)=C6)=CC(C)=C1,CC1=CC=CC=C1,,FC(C1=CC(C(F)(F)F)=CC([B-](C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=C1)(F)F.[Na+],,,10.1002_adsc.201801664,,2.0,10.1002_adsc.201801664,1.2,20,,80,,,,,,,,,0.01,,,,,,0.91,0.2,0,,,Ir,,,0.1,,18,,True,,9,,1,,,,"P,P",,,,,,,0.88,,,,4,,,0.15
9,CC(C1=CC=C(OC)C=C1)=O,C1(OCC=C2)=C2C=CC=C1,CC(C(C=CC(OC)=C1)=C1C(CC2)OC3=C2C=CC=C3)=O,,C1C/C=C\CC/C=C\1.C2C/C=C\CC/C=C\2.[Ir+].[Cl-].[Ir+].[Cl-],C[C@@H](P(C1CCCCC1)C2CCCCC2)C3=C(P(C4=CC=CC=C4)C5=CC=CC=C5)[C@H]([Fe]C6C=CC=C6)C=C3,CC1=CC=CC=C1,,FC(C1=CC(C(F)(F)F)=CC([B-](C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=C1)(F)F.[Na+],,,10.1002_adsc.201801664,,2.0,10.1002_adsc.201801664,1.2,20,,80,,,,,,,,,0.01,,,,,,0.0,0.2,0,,,Ir,,,0.1,,18,,True,,10,,1,,,,"P,P",,,,,,,,,,,4,,,0.15
