Reaction ID,Reaction Type,Reactant Name 1,Ammount of reactant 1(mmol),Reactant Name 2,Ammount of reactant 2(mmol),Product Name 1,Product Name 2,Product Name 3,Product 1 R or S,Product 2 R or S,Product 3 R or S,Solvent 1,Solvent 2,Solvent Ratio,Solvent 1 ammount(mL),Solvent 2 ammount(mL),Additive 1,Ammount of additive 1,Additive 2,Ammount of additive 2,Additive 1 step 2,Ammount of additive 1 step 2,Additive 2 step 2,Ammount of additive 2 step 2,"Molecular Sieve(3A, 4A, 5A)",Ammount of Molecular Sieve(mg),Pre catalyst 1(True or False),(Pre)Catalyst Name 1,Ligand Name 1,Central Metal of Catalyst 1,Valence of Central Metal 1,Charge of Ligand 1,Ligand 1 Type,Number of Coordination Atoms 1,Type of Coordination Atoms 1,Pre catalyst 2(True or False),(Pre)Catalyst Name 2,Ligand Name 2,Central Metal of Catalyst 2,Valence of Central Metal 2,Charge of Ligand 2,Ligand 2 Type,Number of Coordination Atoms 2,Type of Coordination Atoms 2,Reaction Time/h,Reaction Temperature/C,LED,Reaction Time/h step 2,Reaction Temperature/C step 2,LED step 2,Yield 1,ee 1,Yield 2,ee 2,Yield 3,ee 3,dr 1,dr 2,dr 3,Pressure/atm,S/C 1,S/C 2,L/M 1,L/M 2,Ref.(DOI),pdf name (don't include '.pdf'),"Other information(use ""-"" to split, eg. 'property1-property2')"
1,4,(1-(but-3-en-1-yl)-1H-indol-3-yl)(phenyl)methanone,0.1,,,"(1-methyl-2,3-dihydro-1H-pyrrolo[1,2-a]indol-9-yl)(phenyl)methanone",,,,,,PhCl,,,,,,,,,,,,,,,TRUE,[Ir(cod)2]BF4,(R)-BINAP,Ir,1,0,,2,"P,P",,,,,,,,,,16,135,,,,,0.88,0.58,,,,,,,,,10,,1,,10.1002_adsc.201401163,10.1002_adsc.201401163,
2,4,(1-(but-3-en-1-yl)-1H-indol-3-yl)(phenyl)methanone,0.1,,,"(1-methyl-2,3-dihydro-1H-pyrrolo[1,2-a]indol-9-yl)(phenyl)methanone",,,,,,PhCl,,,,,,,,,,,,,,,TRUE,[Rh(cod)2]BF4,(R)-BINAP,Rh,1,0,,2,"P,P",,,,,,,,,,16,135,,,,,,,,,,,,,,,10,,1,,10.1002_adsc.201401163,10.1002_adsc.201401163,
3,4,(1-(but-3-en-1-yl)-1H-indol-3-yl)(phenyl)methanone,0.1,,,"(1-methyl-2,3-dihydro-1H-pyrrolo[1,2-a]indol-9-yl)(phenyl)methanone",,,,,,PhCl,,,,,,,,,,,,,,,TRUE,[Ir(cod)2]BARF,(R)-BINAP,Ir,1,0,,2,"P,P",,,,,,,,,,16,135,,,,,0.89,0.7,,,,,,,,,10,,1,,10.1002_adsc.201401163,10.1002_adsc.201401163,
4,4,(1-(but-3-en-1-yl)-1H-indol-3-yl)(phenyl)methanone,0.1,,,"(1-methyl-2,3-dihydro-1H-pyrrolo[1,2-a]indol-9-yl)(phenyl)methanone",,,,,,PhCl,,,,,,,,,,,,,,,TRUE,[Ir(cod)2]OTf,(R)-BINAP,Ir,1,0,,2,"P,P",,,,,,,,,,3,135,,,,,0.89,0.79,,,,,,,,,10,,1,,10.1002_adsc.201401163,10.1002_adsc.201401163,
5,4,(1-(but-3-en-1-yl)-1H-indol-3-yl)(phenyl)methanone,0.1,,,"(1-methyl-2,3-dihydro-1H-pyrrolo[1,2-a]indol-9-yl)(phenyl)methanone",,,,,,xylene,,,,,,,,,,,,,,,TRUE,[Ir(cod)2]OTf,(R)-BINAP,Ir,1,0,,2,"P,P",,,,,,,,,,4,135,,,,,0.73,0.91,,,,,,,,,10,,1,,10.1002_adsc.201401163,10.1002_adsc.201401163,
6,4,(1-(but-3-en-1-yl)-1H-indol-3-yl)(phenyl)methanone,0.1,,,"(1-methyl-2,3-dihydro-1H-pyrrolo[1,2-a]indol-9-yl)(phenyl)methanone",,,,,,xylene,,,,,,,,,,,,,,,TRUE,[Ir(cod)2]OTf,tolBINAP,Ir,1,0,,2,"P,P",,,,,,,,,,4,135,,,,,0.59,0.95,,,,,,,,,10,,1,,10.1002_adsc.201401163,10.1002_adsc.201401163,
7,4,(1-(but-3-en-1-yl)-1H-indol-3-yl)(phenyl)methanone,0.1,,,"(1-methyl-2,3-dihydro-1H-pyrrolo[1,2-a]indol-9-yl)(phenyl)methanone",,,,,,xylene,,,,,,,,,,,,,,,TRUE,[Ir(cod)2]OTf,xylylBINAP,Ir,1,0,,2,"P,P",,,,,,,,,,4,135,,,,,0.57,0.91,,,,,,,,,10,,1,,10.1002_adsc.201401163,10.1002_adsc.201401163,
8,4,(1-(but-3-en-1-yl)-1H-indol-3-yl)(phenyl)methanone,0.1,,,"(1-methyl-2,3-dihydro-1H-pyrrolo[1,2-a]indol-9-yl)(phenyl)methanone",,,,,,xylene,,,,,,,,,,,,,,,TRUE,[Ir(cod)2]OTf,H8-BINAP,Ir,1,0,,2,"P,P",,,,,,,,,,4,135,,,,,0.68,0.94,,,,,,,,,10,,1,,10.1002_adsc.201401163,10.1002_adsc.201401163,
9,4,(1-(but-3-en-1-yl)-1H-indol-3-yl)(phenyl)methanone,0.1,,,"(1-methyl-2,3-dihydro-1H-pyrrolo[1,2-a]indol-9-yl)(phenyl)methanone",,,,,,xylene,,,,,,,,,,,,,,,TRUE,[Ir(cod)2]OTf,MeO-BIPHEP,Ir,1,0,,2,"P,P",,,,,,,,,,4,135,,,,,0.72,0.93,,,,,,,,,10,,1,,10.1002_adsc.201401163,10.1002_adsc.201401163,
10,4,(1-(but-3-en-1-yl)-1H-indol-3-yl)(phenyl)methanone,0.1,,,"(1-methyl-2,3-dihydro-1H-pyrrolo[1,2-a]indol-9-yl)(phenyl)methanone",,,,,,xylene,,,,,,,,,,,,,,,TRUE,[Ir(cod)2]OTf,SEGPHOS,Ir,1,0,,2,"P,P",,,,,,,,,,4,135,,,,,0.63,0.96,,,,,,,,,10,,1,,10.1002_adsc.201401163,10.1002_adsc.201401163,
11,4,(1-(but-3-en-1-yl)-1H-indol-3-yl)(phenyl)methanone,0.1,,,"(1-methyl-2,3-dihydro-1H-pyrrolo[1,2-a]indol-9-yl)(phenyl)methanone",,,,,,xylene,,,,,,,,,,,,,,,TRUE,[Ir(cod)2]OTf,SEGPHOS,Ir,1,0,,2,"P,P",,,,,,,,,,4,135,,,,,0.51,0.97,,,,,,,,,10,,1,,10.1002_adsc.201401163,10.1002_adsc.201401163,
12,4,(1-(but-3-en-1-yl)-1H-indol-3-yl)(4-chlorophenyl)methanone,0.1,,,"(4-chlorophenyl)(1-methyl-2,3-dihydro-1H-pyrrolo[1,2-a]indol-9-yl)methanone",,,,,,xylene,,,,,,,,,,,,,,,TRUE,[Ir(cod)2]OTf,SYNPHOS,Ir,1,0,,2,"P,P",,,,,,,,,,4,135,,,,,0.63,0.92,,,,,,,,,10,,1,,10.1002_adsc.201401163,10.1002_adsc.201401163,
