Unnamed: 0,Reactant SMILES,Reactant SMILES_2,Product SMILES,Product SMILES_2,Catalyst SMILES,Ligand SMILES,Solvent SMILES,Solvent SMILES_2,Additive SMILES,Additive SMILES_2,Additive SMILES_s2,Yield 2,ee 3,Product 2 R or S,Pre catalyst 2(True or False),Ammount of additive 2,dr 3,Type of Coordination Atoms 2,Additive 2 step 2,L/M 1,L/M 2,Yield 1,Charge of Ligand 2,Ammount of reactant 1(mmol),Central Metal of Catalyst 2,Solvent Ratio,Pressure/atm,S/C 2,Solvent 2 ammount(mL),Valence of Central Metal 1,ee 1,Valence of Central Metal 2,Pre catalyst 1(True or False),Central Metal of Catalyst 1,Ligand Name 2,Ammount of additive 2 step 2,dr 2,Product 3 R or S,"Other information(use ""-"" to split, eg. 'property1-property2')",Reactant Name 2,Ligand 1 Type,Reaction ID,Additive 2,Additive 1 step 2,Reaction Temperature/C step 2,Product Name 2,Product Name 3,Reaction Temperature/C,(Pre)Catalyst Name 2,pdf name (don't include '.pdf'),Solvent 1 ammount(mL),dr 1,S/C 1,Ligand 2 Type,Type of Coordination Atoms 1,Ammount of additive 1 step 2,Reaction Time/h,Number of Coordination Atoms 1,Solvent 2,Ammount of additive 1,ee 2,Ammount of reactant 2(mmol),Reaction Time/h step 2,Product 1 R or S,LED,Number of Coordination Atoms 2,LED step 2,Ammount of Molecular Sieve(mg),Charge of Ligand 1,Reaction Type,Ref.(DOI),Yield 3,"Molecular Sieve(3A, 4A, 5A)"
0,C=CCCn1cc(C(=O)c2ccccc2)c2ccccc21,,CC1CCn2c1c(C(=O)c1ccccc1)c1ccccc12,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.F[B-](F)(F)F.[Ir+],c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1,Clc1ccccc1,,,,,,,,,,,,,1,,0.88,,0.1,,,,,,1,0.58,,True,Ir,,,,,,,,1,,,,,,135,,10.1002_adsc.201401163,,,10,,"P,P",,16,2,,,,,,,,,,,0,4,10.1002_adsc.201401163,,
1,C=CCCn1cc(C(=O)c2ccccc2)c2ccccc21,,CC1CCn2c1c(C(=O)c1ccccc1)c1ccccc12,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.F[B-](F)(F)F.[Rh+],c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1,Clc1ccccc1,,,,,,,,,,,,,1,,,,0.1,,,,,,1,,,True,Rh,,,,,,,,2,,,,,,135,,10.1002_adsc.201401163,,,10,,"P,P",,16,2,,,,,,,,,,,0,4,10.1002_adsc.201401163,,
2,C=CCCn1cc(C(=O)c2ccccc2)c2ccccc21,,CC1CCn2c1c(C(=O)c1ccccc1)c1ccccc12,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1.[Ir+],c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1,Clc1ccccc1,,,,,,,,,,,,,1,,0.89,,0.1,,,,,,1,0.7,,True,Ir,,,,,,,,3,,,,,,135,,10.1002_adsc.201401163,,,10,,"P,P",,16,2,,,,,,,,,,,0,4,10.1002_adsc.201401163,,
3,C=CCCn1cc(C(=O)c2ccccc2)c2ccccc21,,CC1CCn2c1c(C(=O)c1ccccc1)c1ccccc12,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.O=S(=O)([O-])C(F)(F)F.[Ir+],c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1,Clc1ccccc1,,,,,,,,,,,,,1,,0.89,,0.1,,,,,,1,0.79,,True,Ir,,,,,,,,4,,,,,,135,,10.1002_adsc.201401163,,,10,,"P,P",,3,2,,,,,,,,,,,0,4,10.1002_adsc.201401163,,
4,C=CCCn1cc(C(=O)c2ccccc2)c2ccccc21,,CC1CCn2c1c(C(=O)c1ccccc1)c1ccccc12,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.O=S(=O)([O-])C(F)(F)F.[Ir+],c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1,Cc1ccc(C)cc1.Cc1cccc(C)c1.Cc1ccccc1C,,,,,,,,,,,,,1,,0.73,,0.1,,,,,,1,0.91,,True,Ir,,,,,,,,5,,,,,,135,,10.1002_adsc.201401163,,,10,,"P,P",,4,2,,,,,,,,,,,0,4,10.1002_adsc.201401163,,
5,C=CCCn1cc(C(=O)c2ccccc2)c2ccccc21,,CC1CCn2c1c(C(=O)c1ccccc1)c1ccccc12,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.O=S(=O)([O-])C(F)(F)F.[Ir+],Cc1ccc(P(c2ccc(C)cc2)c2ccc3ccccc3c2-c2c(P(c3ccc(C)cc3)c3ccc(C)cc3)ccc3ccccc23)cc1,Cc1ccc(C)cc1.Cc1cccc(C)c1.Cc1ccccc1C,,,,,,,,,,,,,1,,0.59,,0.1,,,,,,1,0.95,,True,Ir,,,,,,,,6,,,,,,135,,10.1002_adsc.201401163,,,10,,"P,P",,4,2,,,,,,,,,,,0,4,10.1002_adsc.201401163,,
6,C=CCCn1cc(C(=O)c2ccccc2)c2ccccc21,,CC1CCn2c1c(C(=O)c1ccccc1)c1ccccc12,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.O=S(=O)([O-])C(F)(F)F.[Ir+],Cc1cc(C)cc(P(c2cc(C)cc(C)c2)c2ccc3ccccc3c2-c2c(P(c3cc(C)cc(C)c3)c3cc(C)cc(C)c3)ccc3ccccc23)c1,Cc1ccc(C)cc1.Cc1cccc(C)c1.Cc1ccccc1C,,,,,,,,,,,,,1,,0.57,,0.1,,,,,,1,0.91,,True,Ir,,,,,,,,7,,,,,,135,,10.1002_adsc.201401163,,,10,,"P,P",,4,2,,,,,,,,,,,0,4,10.1002_adsc.201401163,,
7,C=CCCn1cc(C(=O)c2ccccc2)c2ccccc21,,CC1CCn2c1c(C(=O)c1ccccc1)c1ccccc12,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.O=S(=O)([O-])C(F)(F)F.[Ir+],c1ccc(P(c2ccccc2)c2ccc3c(c2-c2c(P(c4ccccc4)c4ccccc4)ccc4c2CCCC4)CCCC3)cc1,Cc1ccc(C)cc1.Cc1cccc(C)c1.Cc1ccccc1C,,,,,,,,,,,,,1,,0.68,,0.1,,,,,,1,0.94,,True,Ir,,,,,,,,8,,,,,,135,,10.1002_adsc.201401163,,,10,,"P,P",,4,2,,,,,,,,,,,0,4,10.1002_adsc.201401163,,
8,C=CCCn1cc(C(=O)c2ccccc2)c2ccccc21,,CC1CCn2c1c(C(=O)c1ccccc1)c1ccccc12,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.O=S(=O)([O-])C(F)(F)F.[Ir+],COc1cccc(P(c2ccccc2)c2ccccc2)c1-c1c(OC)cccc1P(c1ccccc1)c1ccccc1,Cc1ccc(C)cc1.Cc1cccc(C)c1.Cc1ccccc1C,,,,,,,,,,,,,1,,0.72,,0.1,,,,,,1,0.93,,True,Ir,,,,,,,,9,,,,,,135,,10.1002_adsc.201401163,,,10,,"P,P",,4,2,,,,,,,,,,,0,4,10.1002_adsc.201401163,,
9,C=CCCn1cc(C(=O)c2ccccc2)c2ccccc21,,CC1CCn2c1c(C(=O)c1ccccc1)c1ccccc12,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.O=S(=O)([O-])C(F)(F)F.[Ir+],c1ccc(P(c2ccccc2)c2ccc3c(c2-c2c(P(c4ccccc4)c4ccccc4)ccc4c2OCO4)OCO3)cc1,Cc1ccc(C)cc1.Cc1cccc(C)c1.Cc1ccccc1C,,,,,,,,,,,,,1,,0.63,,0.1,,,,,,1,0.96,,True,Ir,,,,,,,,10,,,,,,135,,10.1002_adsc.201401163,,,10,,"P,P",,4,2,,,,,,,,,,,0,4,10.1002_adsc.201401163,,
