,Reactant SMILES,Reactant SMILES_2,Product SMILES,Product SMILES_2,Catalyst SMILES,Ligand SMILES,Solvent SMILES,Solvent SMILES_2,Additive SMILES,Additive SMILES_2,Additive SMILES_s2,Ref.(DOI),LED step 2,Number of Coordination Atoms 1,pdf name (don't include '.pdf'),L/M 1,S/C 1,Reaction Temperature/C step 2,Reaction Temperature/C,Ligand Name 2,Yield 3,dr 3,Central Metal of Catalyst 2,dr 1,Ligand 2 Type,Product Name 3,Additive 2 step 2,Ammount of additive 1,Product 1 R or S,ee 3,Ammount of additive 2,(Pre)Catalyst Name 2,"Molecular Sieve(3A, 4A, 5A)",Yield 1,Solvent 1 ammount(mL),Charge of Ligand 1,Charge of Ligand 2,Ammount of additive 1 step 2,Central Metal of Catalyst 1,Ligand 1 Type,Pre catalyst 2(True or False),Ammount of reactant 1(mmol),Ammount of Molecular Sieve(mg),Reaction Time/h,LED,Pre catalyst 1(True or False),dr 2,Reaction ID,Yield 2,Valence of Central Metal 1,"Other information(use ""-"" to split, eg. 'property1-property2')",Product 2 R or S,Solvent 2 ammount(mL),Type of Coordination Atoms 1,L/M 2,Pressure/atm,Number of Coordination Atoms 2,Valence of Central Metal 2,Type of Coordination Atoms 2,Reaction Time/h step 2,ee 1,S/C 2,Ammount of additive 2 step 2,ee 2,Reaction Type,Product 3 R or S,Solvent Ratio,Ammount of reactant 2(mmol)
0,O=C(C1=CC=CC=C1)C2=CN(CCC=C)C3=CC=CC=C32,,CC(CCN1C2=CC=CC=C32)C1=C3C(C4=CC=CC=C4)=O,,F[B-](F)(F)F.C1C/C=C\CC/C=C\1.C2C/C=C\CC/C=C\2.[Ir+],C12=C(C=CC=C2)C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=[C@]1[C@]5=C(P(C6=CC=CC=C6)C7=CC=CC=C7)C=CC8=C5C=CC=C8,ClC1=CC=CC=C1,,,,,10.1002_adsc.201401163,,2,10.1002_adsc.201401163,1,10,,135,,,,,,,,,,,,,,,0.88,,0,,,Ir,,,0.1,,16,,True,,1,,1,,,,"P,P",,,,,,,0.58,,,,4,,,
1,O=C(C1=CC=CC=C1)C2=CN(CCC=C)C3=CC=CC=C32,,CC(CCN1C2=CC=CC=C32)C1=C3C(C4=CC=CC=C4)=O,,F[B-](F)(F)F.C1C/C=C\CC/C=C\1.C2C/C=C\CC/C=C\2.[Rh+],C12=C(C=CC=C2)C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=[C@]1[C@]5=C(P(C6=CC=CC=C6)C7=CC=CC=C7)C=CC8=C5C=CC=C8,ClC1=CC=CC=C1,,,,,10.1002_adsc.201401163,,2,10.1002_adsc.201401163,1,10,,135,,,,,,,,,,,,,,,,,0,,,Rh,,,0.1,,16,,True,,2,,1,,,,"P,P",,,,,,,,,,,4,,,
2,O=C(C1=CC=CC=C1)C2=CN(CCC=C)C3=CC=CC=C32,,CC(CCN1C2=CC=CC=C32)C1=C3C(C4=CC=CC=C4)=O,,FC(C1=CC(C(F)(F)F)=CC([B-](C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=C1)(F)F.C5C/C=C\CC/C=C\5.C6C/C=C\CC/C=C\6.[Ir+],C12=C(C=CC=C2)C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=[C@]1[C@]5=C(P(C6=CC=CC=C6)C7=CC=CC=C7)C=CC8=C5C=CC=C8,ClC1=CC=CC=C1,,,,,10.1002_adsc.201401163,,2,10.1002_adsc.201401163,1,10,,135,,,,,,,,,,,,,,,0.89,,0,,,Ir,,,0.1,,16,,True,,3,,1,,,,"P,P",,,,,,,0.7,,,,4,,,
3,O=C(C1=CC=CC=C1)C2=CN(CCC=C)C3=CC=CC=C32,,CC(CCN1C2=CC=CC=C32)C1=C3C(C4=CC=CC=C4)=O,,O=S(C(F)(F)F)([O-])=O.C1C/C=C\CC/C=C\1.C2C/C=C\CC/C=C\2.[Ir+],C12=C(C=CC=C2)C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=[C@]1[C@]5=C(P(C6=CC=CC=C6)C7=CC=CC=C7)C=CC8=C5C=CC=C8,ClC1=CC=CC=C1,,,,,10.1002_adsc.201401163,,2,10.1002_adsc.201401163,1,10,,135,,,,,,,,,,,,,,,0.89,,0,,,Ir,,,0.1,,3,,True,,4,,1,,,,"P,P",,,,,,,0.79,,,,4,,,
4,O=C(C1=CC=CC=C1)C2=CN(CCC=C)C3=CC=CC=C32,,CC(CCN1C2=CC=CC=C32)C1=C3C(C4=CC=CC=C4)=O,,O=S(C(F)(F)F)([O-])=O.C1C/C=C\CC/C=C\1.C2C/C=C\CC/C=C\2.[Ir+],C12=C(C=CC=C2)C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=[C@]1[C@]5=C(P(C6=CC=CC=C6)C7=CC=CC=C7)C=CC8=C5C=CC=C8,CC1=CC=C(C)C=C1.CC2=CC=CC=C2C.CC3=CC=CC(C)=C3,,,,,10.1002_adsc.201401163,,2,10.1002_adsc.201401163,1,10,,135,,,,,,,,,,,,,,,0.73,,0,,,Ir,,,0.1,,4,,True,,5,,1,,,,"P,P",,,,,,,0.91,,,,4,,,
5,O=C(C1=CC=CC=C1)C2=CN(CCC=C)C3=CC=CC=C32,,CC(CCN1C2=CC=CC=C32)C1=C3C(C4=CC=CC=C4)=O,,O=S(C(F)(F)F)([O-])=O.C1C/C=C\CC/C=C\1.C2C/C=C\CC/C=C\2.[Ir+],CC1=CC=C(P(C(C=C2)=CC=C2C)C(C=CC3=C4C=CC=C3)=[C@]4[C@@]5=C(C=CC=C6)C6=CC=C5P(C(C=C7)=CC=C7C)C(C=C8)=CC=C8C)C=C1,CC1=CC=C(C)C=C1.CC2=CC=CC=C2C.CC3=CC=CC(C)=C3,,,,,10.1002_adsc.201401163,,2,10.1002_adsc.201401163,1,10,,135,,,,,,,,,,,,,,,0.59,,0,,,Ir,,,0.1,,4,,True,,6,,1,,,,"P,P",,,,,,,0.95,,,,4,,,
6,O=C(C1=CC=CC=C1)C2=CN(CCC=C)C3=CC=CC=C32,,CC(CCN1C2=CC=CC=C32)C1=C3C(C4=CC=CC=C4)=O,,O=S(C(F)(F)F)([O-])=O.C1C/C=C\CC/C=C\1.C2C/C=C\CC/C=C\2.[Ir+],CC1=CC(C)=CC(P(C2=CC(C)=CC(C)=C2)C(C=CC3=C4C=CC=C3)=[C@]4[C@@]5=C(C=CC=C6)C6=CC=C5P(C7=CC(C)=CC(C)=C7)C8=CC(C)=CC(C)=C8)=C1,CC1=CC=C(C)C=C1.CC2=CC=CC=C2C.CC3=CC=CC(C)=C3,,,,,10.1002_adsc.201401163,,2,10.1002_adsc.201401163,1,10,,135,,,,,,,,,,,,,,,0.57,,0,,,Ir,,,0.1,,4,,True,,7,,1,,,,"P,P",,,,,,,0.91,,,,4,,,
7,O=C(C1=CC=CC=C1)C2=CN(CCC=C)C3=CC=CC=C32,,CC(CCN1C2=CC=CC=C32)C1=C3C(C4=CC=CC=C4)=O,,O=S(C(F)(F)F)([O-])=O.C1C/C=C\CC/C=C\1.C2C/C=C\CC/C=C\2.[Ir+],[C@@]1([C@]2=C(CCCC3)C3=CC=C2P(C4=CC=CC=C4)C5=CC=CC=C5)=C(P(C6=CC=CC=C6)C7=CC=CC=C7)C=CC8=C1CCCC8,CC1=CC=C(C)C=C1.CC2=CC=CC=C2C.CC3=CC=CC(C)=C3,,,,,10.1002_adsc.201401163,,2,10.1002_adsc.201401163,1,10,,135,,,,,,,,,,,,,,,0.68,,0,,,Ir,,,0.1,,4,,True,,8,,1,,,,"P,P",,,,,,,0.94,,,,4,,,
8,O=C(C1=CC=CC=C1)C2=CN(CCC=C)C3=CC=CC=C32,,CC(CCN1C2=CC=CC=C32)C1=C3C(C4=CC=CC=C4)=O,,O=S(C(F)(F)F)([O-])=O.C1C/C=C\CC/C=C\1.C2C/C=C\CC/C=C\2.[Ir+],COC1=CC=CC(P(C2=CC=CC=C2)C3=CC=CC=C3)=[C@]1[C@]4=C(OC)C=CC=C4P(C5=CC=CC=C5)C6=CC=CC=C6,CC1=CC=C(C)C=C1.CC2=CC=CC=C2C.CC3=CC=CC(C)=C3,,,,,10.1002_adsc.201401163,,2,10.1002_adsc.201401163,1,10,,135,,,,,,,,,,,,,,,0.72,,0,,,Ir,,,0.1,,4,,True,,9,,1,,,,"P,P",,,,,,,0.93,,,,4,,,
9,O=C(C1=CC=CC=C1)C2=CN(CCC=C)C3=CC=CC=C32,,CC(CCN1C2=CC=CC=C32)C1=C3C(C4=CC=CC=C4)=O,,O=S(C(F)(F)F)([O-])=O.C1C/C=C\CC/C=C\1.C2C/C=C\CC/C=C\2.[Ir+],[C@@]1([C@]2=C(OCO3)C3=CC=C2P(C4=CC=CC=C4)C5=CC=CC=C5)=C(P(C6=CC=CC=C6)C7=CC=CC=C7)C=CC8=C1OCO8,CC1=CC=C(C)C=C1.CC2=CC=CC=C2C.CC3=CC=CC(C)=C3,,,,,10.1002_adsc.201401163,,2,10.1002_adsc.201401163,1,10,,135,,,,,,,,,,,,,,,0.63,,0,,,Ir,,,0.1,,4,,True,,10,,1,,,,"P,P",,,,,,,0.96,,,,4,,,
10,O=C(C1=CC=CC=C1)C2=CN(CCC=C)C3=CC=CC=C32,,CC(CCN1C2=CC=CC=C32)C1=C3C(C4=CC=CC=C4)=O,,O=S(C(F)(F)F)([O-])=O.C1C/C=C\CC/C=C\1.C2C/C=C\CC/C=C\2.[Ir+],[C@@]1([C@]2=C(OCO3)C3=CC=C2P(C4=CC=CC=C4)C5=CC=CC=C5)=C(P(C6=CC=CC=C6)C7=CC=CC=C7)C=CC8=C1OCO8,CC1=CC=C(C)C=C1.CC2=CC=CC=C2C.CC3=CC=CC(C)=C3,,,,,10.1002_adsc.201401163,,2,10.1002_adsc.201401163,1,10,,135,,,,,,,,,,,,,,,0.51,,0,,,Ir,,,0.1,,4,,True,,11,,1,,,,"P,P",,,,,,,0.97,,,,4,,,
11,O=C(C1=CC=C(Cl)C=C1)C2=CN(CCC=C)C3=CC=CC=C32,,CC(CCN1C2=CC=CC=C32)C1=C3C(C4=CC=C(Cl)C=C4)=O,,O=S(C(F)(F)F)([O-])=O.C1C/C=C\CC/C=C\1.C2C/C=C\CC/C=C\2.[Ir+],[C@@]1([C@]2=C(OCCO3)C3=CC=C2P(C4=CC=CC=C4)C5=CC=CC=C5)=C(P(C6=CC=CC=C6)C7=CC=CC=C7)C=CC8=C1OCCO8,CC1=CC=C(C)C=C1.CC2=CC=CC=C2C.CC3=CC=CC(C)=C3,,,,,10.1002_adsc.201401163,,2,10.1002_adsc.201401163,1,10,,135,,,,,,,,,,,,,,,0.63,,0,,,Ir,,,0.1,,4,,True,,12,,1,,,,"P,P",,,,,,,0.92,,,,4,,,
12,O=C(C1=CC=C(OC)C=C1)C2=CN(CCC=C)C3=CC=CC=C32,,CC(CCN1C2=CC=CC=C32)C1=C3C(C4=CC=C(OC)C=C4)=O,,O=S(C(F)(F)F)([O-])=O.C1C/C=C\CC/C=C\1.C2C/C=C\CC/C=C\2.[Ir+],[C@@]1([C@]2=C(OCO3)C3=CC=C2P(C4=CC=CC=C4)C5=CC=CC=C5)=C(P(C6=CC=CC=C6)C7=CC=CC=C7)C=CC8=C1OCO8,CC1=CC=C(C)C=C1.CC2=CC=CC=C2C.CC3=CC=CC(C)=C3,,,,,10.1002_adsc.201401163,,2,10.1002_adsc.201401163,1,10,,135,,,,,,,,,,,,,,,0.9,,0,,,Ir,,,0.1,,4,,True,,13,,1,,,,"P,P",,,,,,,0.92,,,,4,,,
13,O=C(C1=CC=C(C=CC=C2)C2=C1)C3=CN(CCC=C)C4=CC=CC=C43,,CC(CCN1C2=CC=CC=C32)C1=C3C(C4=CC=C(C=CC=C5)C5=C4)=O,,O=S(C(F)(F)F)([O-])=O.C1C/C=C\CC/C=C\1.C2C/C=C\CC/C=C\2.[Ir+],[C@@]1([C@]2=C(OCO3)C3=CC=C2P(C4=CC=CC=C4)C5=CC=CC=C5)=C(P(C6=CC=CC=C6)C7=CC=CC=C7)C=CC8=C1OCO8,CC1=CC=C(C)C=C1.CC2=CC=CC=C2C.CC3=CC=CC(C)=C3,,,,,10.1002_adsc.201401163,,2,10.1002_adsc.201401163,1,10,,135,,,,,,,,,,,,,,,0.97,,0,,,Ir,,,0.1,,4,,True,,14,,1,,,,"P,P",,,,,,,0.86,,,,4,,,
14,O=C(C1=CC=C(OC)C=C1)C2=CN(CCC=C)C3=CC=CC=C32,,CC(CCN1C2=CC=CC=C32)C1=C3C(C4=CC=C(OC)C=C4)=O,,O=S(C(F)(F)F)([O-])=O.C1C/C=C\CC/C=C\1.C2C/C=C\CC/C=C\2.[Ir+],[C@@]1([C@]2=C(OCO3)C3=CC=C2P(C4=CC=CC=C4)C5=CC=CC=C5)=C(P(C6=CC=CC=C6)C7=CC=CC=C7)C=CC8=C1OCO8,CC1=CC=C(C)C=C1.CC2=CC=CC=C2C.CC3=CC=CC(C)=C3,,,,,10.1002_adsc.201401163,,2,10.1002_adsc.201401163,1,10,,120,,,,,,,,,,,,,,,0.86,,0,,,Ir,,,0.1,,4,,True,,15,,1,,,,"P,P",,,,,,,0.98,,,,4,,,
15,O=C(C1=CC=C(OC)C=C1)C2=CN(CCC=C)C3=CC=CC=C32,,CC(CCN1C2=CC=CC=C32)C1=C3C(C4=CC=C(OC)C=C4)=O,,O=S(C(F)(F)F)([O-])=O.C1C/C=C\CC/C=C\1.C2C/C=C\CC/C=C\2.[Ir+],[C@@]1([C@]2=C(OCO3)C3=CC=C2P(C4=CC=CC=C4)C5=CC=CC=C5)=C(P(C6=CC=CC=C6)C7=CC=CC=C7)C=CC8=C1OCO8,CC1=CC=C(C)C=C1.CC2=CC=CC=C2C.CC3=CC=CC(C)=C3,,,,,10.1002_adsc.201401163,,2,10.1002_adsc.201401163,1,10,,100,,,,,,,,,,,,,,,0.66,,0,,,Ir,,,0.1,,4,,True,,16,,1,,,,"P,P",,,,,,,0.96,,,,4,,,
16,O=C(C1=CC=C(OC)C=C1)C2=CN(CCC=C)C3=CC=CC(OC)=C32,,CC(CCN1C2=CC=CC(OC)=C32)C1=C3C(C4=CC=C(OC)C=C4)=O,,O=S(C(F)(F)F)([O-])=O.C1C/C=C\CC/C=C\1.C2C/C=C\CC/C=C\2.[Ir+],[C@@]1([C@]2=C(OCO3)C3=CC=C2P(C4=CC=CC=C4)C5=CC=CC=C5)=C(P(C6=CC=CC=C6)C7=CC=CC=C7)C=CC8=C1OCO8,CC1=CC=C(C)C=C1.CC2=CC=CC=C2C.CC3=CC=CC(C)=C3,,,,,10.1002_adsc.201401163,,2,10.1002_adsc.201401163,1,10,,120,,,,,,,,,,,,,,,0.81,,0,,,Ir,,,0.1,,24,,True,,17,,1,,,,"P,P",,,,,,,0.91,,,,4,,,
17,O=C(C1=CC=C(OC)C=C1)C2=CN(CCC=C)C3=CC=C(OC)C=C32,,CC(CCN1C2=CC=C(OC)C=C32)C1=C3C(C4=CC=C(OC)C=C4)=O,,O=S(C(F)(F)F)([O-])=O.C1C/C=C\CC/C=C\1.C2C/C=C\CC/C=C\2.[Ir+],[C@@]1([C@]2=C(OCO3)C3=CC=C2P(C4=CC=CC=C4)C5=CC=CC=C5)=C(P(C6=CC=CC=C6)C7=CC=CC=C7)C=CC8=C1OCO8,CC1=CC=C(C)C=C1.CC2=CC=CC=C2C.CC3=CC=CC(C)=C3,,,,,10.1002_adsc.201401163,,2,10.1002_adsc.201401163,1,10,,120,,,,,,,,,,,,,,,0.7,,0,,,Ir,,,0.1,,24,,True,,18,,1,,,,"P,P",,,,,,,0.85,,,,4,,,
