Reaction ID,Reaction Type,Reactant Name 1,Ammount of reactant 1(mmol),Reactant Name 2,Ammount of reactant 2(mmol),Product Name 1,Product Name 2,Product Name 3,Product 1 R or S,Product 2 R or S,Product 3 R or S,Solvent 1,Solvent 2,Solvent Ratio,Solvent 1 ammount(mL),Solvent 2 ammount(mL),Additive 1,Ammount of additive 1,Additive 2,Ammount of additive 2,Additive 1 step 2,Ammount of additive 1 step 2,Additive 2 step 2,Ammount of additive 2 step 2,"Molecular Sieve(3A, 4A, 5A)",Ammount of Molecular Sieve(mg),Pre catalyst 1(True or False),(Pre)Catalyst Name 1,Ligand Name 1,Central Metal of Catalyst 1,Valence of Central Metal 1,Charge of Ligand 1,Ligand 1 Type,Number of Coordination Atoms 1,Type of Coordination Atoms 1,Pre catalyst 2(True or False),(Pre)Catalyst Name 2,Ligand Name 2,Central Metal of Catalyst 2,Valence of Central Metal 2,Charge of Ligand 2,Ligand 2 Type,Number of Coordination Atoms 2,Type of Coordination Atoms 2,Reaction Time/h,Reaction Temperature/C,LED,Reaction Time/h step 2,Reaction Temperature/C step 2,LED step 2,Yield 1,ee 1,Yield 2,ee 2,Yield 3,ee 3,dr 1,dr 2,dr 3,Pressure/atm,S/C 1,S/C 2,L/M 1,L/M 2,Ref.(DOI),pdf name (don't include '.pdf'),"Other information(use ""-"" to split, eg. 'property1-property2')"
1,1,1-(3-methylbut-3-en-1-yl)pyridin-2(1H)-one,0.1,,,"(R)-8-methyl-6,7,8,9-tetrahydro-4H-quinolizin-4-one",,,R,,,benzene,,,0.2,,t-BuOK,0.006,AlMe3,0.04,,,,,,,TRUE,Ni(cod)2,L1,Ni,0,0,,1,C,,,,,,,,,,24,80,,,,,0.99,0.58,,,,,,,,,50,,1,,10.1002_adsc.201901582,10.1002_adsc.201901582,
2,1,1-(3-methylbut-3-en-1-yl)pyridin-2(1H)-one,0.1,,,"(R)-8-methyl-6,7,8,9-tetrahydro-4H-quinolizin-4-one",,,R,,,benzene,,,0.2,,t-BuOK,0.006,AlMe3,0.04,,,,,,,TRUE,Ni(cod)2,L2,Ni,0,0,,1,C,,,,,,,,,,24,80,,,,,0.86,0.61,,,,,,,,,50,,1,,10.1002_adsc.201901582,10.1002_adsc.201901582,
3,1,1-(3-methylbut-3-en-1-yl)pyridin-2(1H)-one,0.1,,,"(R)-8-methyl-6,7,8,9-tetrahydro-4H-quinolizin-4-one",,,R,,,benzene,,,0.2,,t-BuOK,0.006,AlMe3,0.04,,,,,,,TRUE,Ni(cod)2,L3,Ni,0,0,,1,C,,,,,,,,,,24,80,,,,,0.99,0.86,,,,,,,,,50,,1,,10.1002_adsc.201901582,10.1002_adsc.201901582,
4,1,1-(3-methylbut-3-en-1-yl)pyridin-2(1H)-one,0.1,,,"(R)-8-methyl-6,7,8,9-tetrahydro-4H-quinolizin-4-one",,,R,,,benzene,,,0.2,,t-BuOK,0.006,AlMe3,0.04,,,,,,,TRUE,Ni(cod)2,L4,Ni,0,0,,1,C,,,,,,,,,,24,80,,,,,0.99,0.94,,,,,,,,,50,,1,,10.1002_adsc.201901582,10.1002_adsc.201901582,
5,1,1-(3-methylbut-3-en-1-yl)pyridin-2(1H)-one,0.1,,,"(R)-8-methyl-6,7,8,9-tetrahydro-4H-quinolizin-4-one",,,R,,,toluene,,,0.2,,t-BuOK,0.006,AlMe3,0.04,,,,,,,TRUE,Ni(cod)2,L3,Ni,0,0,,1,C,,,,,,,,,,24,80,,,,,0.99,0.91,,,,,,,,,50,,1,,10.1002_adsc.201901582,10.1002_adsc.201901582,
6,1,1-(3-methylbut-3-en-1-yl)pyridin-2(1H)-one,0.1,,,"(R)-8-methyl-6,7,8,9-tetrahydro-4H-quinolizin-4-one",,,R,,,n-hexane,,,0.2,,t-BuOK,0.006,AlMe3,0.04,,,,,,,TRUE,Ni(cod)2,L3,Ni,0,0,,1,C,,,,,,,,,,24,80,,,,,0.99,0.86,,,,,,,,,50,,1,,10.1002_adsc.201901582,10.1002_adsc.201901582,
7,1,1-(3-methylbut-3-en-1-yl)pyridin-2(1H)-one,0.1,,,"(R)-8-methyl-6,7,8,9-tetrahydro-4H-quinolizin-4-one",,,R,,,THF,,,0.2,,t-BuOK,0.006,AlMe3,0.04,,,,,,,TRUE,Ni(cod)2,L3,Ni,0,0,,1,C,,,,,,,,,,24,80,,,,,0.5,0.68,,,,,,,,,50,,1,,10.1002_adsc.201901582,10.1002_adsc.201901582,
8,1,1-(3-methylbut-3-en-1-yl)pyridin-2(1H)-one,0.1,,,"(R)-8-methyl-6,7,8,9-tetrahydro-4H-quinolizin-4-one",,,R,,,EtOAc,,,0.2,,t-BuOK,0.006,AlMe3,0.04,,,,,,,TRUE,Ni(cod)2,L3,Ni,0,0,,1,C,,,,,,,,,,24,80,,,,,0.99,0.9,,,,,,,,,50,,1,,10.1002_adsc.201901582,10.1002_adsc.201901582,
9,1,1-(3-methylbut-3-en-1-yl)pyridin-2(1H)-one,0.1,,,"(R)-8-methyl-6,7,8,9-tetrahydro-4H-quinolizin-4-one",,,R,,,toluene,,,0.2,,t-BuOK,0.006,Et2AlCI,0.04,,,,,,,TRUE,Ni(cod)2,L3,Ni,0,0,,1,C,,,,,,,,,,24,80,,,,,0.1,0.91,,,,,,,,,50,,1,,10.1002_adsc.201901582,10.1002_adsc.201901582,
10,1,1-(3-methylbut-3-en-1-yl)pyridin-2(1H)-one,0.1,,,"(R)-8-methyl-6,7,8,9-tetrahydro-4H-quinolizin-4-one",,,R,,,toluene,,,0.2,,t-BuOK,0.006,Al(OiPr)3,0.04,,,,,,,TRUE,Ni(cod)2,L3,Ni,0,0,,1,C,,,,,,,,,,24,80,,,,,0,,,,,,,,,,50,,1,,10.1002_adsc.201901582,10.1002_adsc.201901582,
