,Reactant SMILES,Reactant SMILES_2,Product SMILES,Product SMILES_2,Catalyst SMILES,Ligand SMILES,Solvent SMILES,Solvent SMILES_2,Additive SMILES,Additive SMILES_2,Additive SMILES_s2,Ref.(DOI),LED step 2,Number of Coordination Atoms 1,pdf name (don't include '.pdf'),L/M 1,S/C 1,Reaction Temperature/C step 2,Reaction Temperature/C,Ligand Name 2,Yield 3,dr 3,Central Metal of Catalyst 2,dr 1,Ligand 2 Type,Product Name 3,Additive 2 step 2,Ammount of additive 1,Product 1 R or S,ee 3,Ammount of additive 2,(Pre)Catalyst Name 2,"Molecular Sieve(3A, 4A, 5A)",Yield 1,Solvent 1 ammount(mL),Charge of Ligand 1,Charge of Ligand 2,Ammount of additive 1 step 2,Central Metal of Catalyst 1,Ligand 1 Type,Pre catalyst 2(True or False),Ammount of reactant 1(mmol),Ammount of Molecular Sieve(mg),Reaction Time/h,LED,Pre catalyst 1(True or False),dr 2,Reaction ID,Yield 2,Valence of Central Metal 1,"Other information(use ""-"" to split, eg. 'property1-property2')",Product 2 R or S,Solvent 2 ammount(mL),Type of Coordination Atoms 1,L/M 2,Pressure/atm,Number of Coordination Atoms 2,Valence of Central Metal 2,Type of Coordination Atoms 2,Reaction Time/h step 2,ee 1,S/C 2,Ammount of additive 2 step 2,ee 2,Reaction Type,Product 3 R or S,Solvent Ratio,Ammount of reactant 2(mmol)
0,O=C1C=CC=CN1CCC(C)=C,,O=C1C=CC=C2N1CC[C@@H](C)C2,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],CC(C1=CC=CC=C1)C2=CC(C)=CC([C@@H](C3=CC=CC=C3)C)=[C@]2[N@+]4=C[N@@]([C@@]5=C([C@H](C)C6=CC=CC=C6)C=C(C)C=C5C(C)C7=CC=CC=C7)C8=C4C9=CC=CC%10=C9C8=CC=C%10.[Cl-],C1=CC=CC=C1,,[O-]C(C)(C)C.[K+],C[Al](C)C,,10.1002_adsc.201901582,,1,10.1002_adsc.201901582,1.0,50,,80,,,,,,,,,0.006,R,,0.04,,,0.99,0.2,0,,,Ni,,,0.1,,24,,True,,1,,0,,,,C,,,,,,,0.58,,,,1,,,
1,O=C1C=CC=CN1CCC(C)=C,,O=C1C=CC=C2N1CC[C@@H](C)C2,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],CC(C1=CC=CC=C1)C2=CC(C)=CC([C@@H](C3=CC=CC=C3)C)=C2[N+]4=CN(C5=C([C@H](C)C6=CC=CC=C6)C=C(C)C=C5C(C)C7=CC=CC=C7)C=C4.[Cl-],C1=CC=CC=C1,,[O-]C(C)(C)C.[K+],C[Al](C)C,,10.1002_adsc.201901582,,1,10.1002_adsc.201901582,1.0,50,,80,,,,,,,,,0.006,R,,0.04,,,0.86,0.2,0,,,Ni,,,0.1,,24,,True,,2,,0,,,,C,,,,,,,0.61,,,,1,,,
2,O=C1C=CC=CN1CCC(C)=C,,O=C1C=CC=C2N1CC[C@@H](C)C2,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],CC(C1=CC=CC=C1)C2=CC(C)=CC([C@@H](C3=CC=CC=C3)C)=C2[N+]4=CN(C5=C([C@H](C)C6=CC=CC=C6)C=C(C)C=C5C(C)C7=CC=CC=C7)CC4.[Cl-],C1=CC=CC=C1,,[O-]C(C)(C)C.[K+],C[Al](C)C,,10.1002_adsc.201901582,,1,10.1002_adsc.201901582,1.0,50,,80,,,,,,,,,0.006,R,,0.04,,,0.99,0.2,0,,,Ni,,,0.1,,24,,True,,3,,0,,,,C,,,,,,,0.86,,,,1,,,
3,O=C1C=CC=CN1CCC(C)=C,,O=C1C=CC=C2N1CC[C@@H](C)C2,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],CC(C1=CC(C)=CC(C)=C1)C2=CC(C)=CC([C@@H](C3=CC(C)=CC(C)=C3)C)=C2[N+]4=CN(C5=C([C@H](C)C6=CC(C)=CC(C)=C6)C=C(C)C=C5C(C)C7=CC(C)=CC(C)=C7)CC4.[Cl-],C1=CC=CC=C1,,[O-]C(C)(C)C.[K+],C[Al](C)C,,10.1002_adsc.201901582,,1,10.1002_adsc.201901582,1.0,50,,80,,,,,,,,,0.006,R,,0.04,,,0.99,0.2,0,,,Ni,,,0.1,,24,,True,,4,,0,,,,C,,,,,,,0.94,,,,1,,,
4,O=C1C=CC=CN1CCC(C)=C,,O=C1C=CC=C2N1CC[C@@H](C)C2,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],CC(C1=CC=CC=C1)C2=CC(C)=CC([C@@H](C3=CC=CC=C3)C)=C2[N+]4=CN(C5=C([C@H](C)C6=CC=CC=C6)C=C(C)C=C5C(C)C7=CC=CC=C7)CC4.[Cl-],CC1=CC=CC=C1,,[O-]C(C)(C)C.[K+],C[Al](C)C,,10.1002_adsc.201901582,,1,10.1002_adsc.201901582,1.0,50,,80,,,,,,,,,0.006,R,,0.04,,,0.99,0.2,0,,,Ni,,,0.1,,24,,True,,5,,0,,,,C,,,,,,,0.91,,,,1,,,
5,O=C1C=CC=CN1CCC(C)=C,,O=C1C=CC=C2N1CC[C@@H](C)C2,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],CC(C1=CC=CC=C1)C2=CC(C)=CC([C@@H](C3=CC=CC=C3)C)=C2[N+]4=CN(C5=C([C@H](C)C6=CC=CC=C6)C=C(C)C=C5C(C)C7=CC=CC=C7)CC4.[Cl-],CCCCCC,,[O-]C(C)(C)C.[K+],C[Al](C)C,,10.1002_adsc.201901582,,1,10.1002_adsc.201901582,1.0,50,,80,,,,,,,,,0.006,R,,0.04,,,0.99,0.2,0,,,Ni,,,0.1,,24,,True,,6,,0,,,,C,,,,,,,0.86,,,,1,,,
6,O=C1C=CC=CN1CCC(C)=C,,O=C1C=CC=C2N1CC[C@@H](C)C2,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],CC(C1=CC=CC=C1)C2=CC(C)=CC([C@@H](C3=CC=CC=C3)C)=C2[N+]4=CN(C5=C([C@H](C)C6=CC=CC=C6)C=C(C)C=C5C(C)C7=CC=CC=C7)CC4.[Cl-],C1CCOC1,,[O-]C(C)(C)C.[K+],C[Al](C)C,,10.1002_adsc.201901582,,1,10.1002_adsc.201901582,1.0,50,,80,,,,,,,,,0.006,R,,0.04,,,0.5,0.2,0,,,Ni,,,0.1,,24,,True,,7,,0,,,,C,,,,,,,0.68,,,,1,,,
7,O=C1C=CC=CN1CCC(C)=C,,O=C1C=CC=C2N1CC[C@@H](C)C2,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],CC(C1=CC=CC=C1)C2=CC(C)=CC([C@@H](C3=CC=CC=C3)C)=C2[N+]4=CN(C5=C([C@H](C)C6=CC=CC=C6)C=C(C)C=C5C(C)C7=CC=CC=C7)CC4.[Cl-],CC(OCC)=O,,[O-]C(C)(C)C.[K+],C[Al](C)C,,10.1002_adsc.201901582,,1,10.1002_adsc.201901582,1.0,50,,80,,,,,,,,,0.006,R,,0.04,,,0.99,0.2,0,,,Ni,,,0.1,,24,,True,,8,,0,,,,C,,,,,,,0.9,,,,1,,,
8,O=C1C=CC=CN1CCC(C)=C,,O=C1C=CC=C2N1CC[C@@H](C)C2,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],CC(C1=CC=CC=C1)C2=CC(C)=CC([C@@H](C3=CC=CC=C3)C)=C2[N+]4=CN(C5=C([C@H](C)C6=CC=CC=C6)C=C(C)C=C5C(C)C7=CC=CC=C7)CC4.[Cl-],CC1=CC=CC=C1,,[O-]C(C)(C)C.[K+],Cl[Al](CC)CC,,10.1002_adsc.201901582,,1,10.1002_adsc.201901582,1.0,50,,80,,,,,,,,,0.006,R,,0.04,,,0.1,0.2,0,,,Ni,,,0.1,,24,,True,,9,,0,,,,C,,,,,,,0.91,,,,1,,,
9,O=C1C=CC=CN1CCC(C)=C,,O=C1C=CC=C2N1CC[C@@H](C)C2,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],CC(C1=CC=CC=C1)C2=CC(C)=CC([C@@H](C3=CC=CC=C3)C)=C2[N+]4=CN(C5=C([C@H](C)C6=CC=CC=C6)C=C(C)C=C5C(C)C7=CC=CC=C7)CC4.[Cl-],CC1=CC=CC=C1,,[O-]C(C)(C)C.[K+],CC(C)O[Al](OC(C)C)OC(C)C,,10.1002_adsc.201901582,,1,10.1002_adsc.201901582,1.0,50,,80,,,,,,,,,0.006,R,,0.04,,,0.0,0.2,0,,,Ni,,,0.1,,24,,True,,10,,0,,,,C,,,,,,,,,,,1,,,
