,Reactant SMILES,Reactant SMILES_2,Product SMILES,Product SMILES_2,Catalyst SMILES,Ligand SMILES,Solvent SMILES,Solvent SMILES_2,Additive SMILES,Additive SMILES_2,Additive SMILES_s2,Ref.(DOI),LED step 2,Number of Coordination Atoms 1,pdf name (don't include '.pdf'),L/M 1,S/C 1,Reaction Temperature/C step 2,Reaction Temperature/C,Ligand Name 2,Yield 3,dr 3,Central Metal of Catalyst 2,dr 1,Ligand 2 Type,Product Name 3,Additive 2 step 2,Ammount of additive 1,Product 1 R or S,ee 3,Ammount of additive 2,(Pre)Catalyst Name 2,"Molecular Sieve(3A, 4A, 5A)",Yield 1,Solvent 1 ammount(mL),Charge of Ligand 1,Charge of Ligand 2,Ammount of additive 1 step 2,Central Metal of Catalyst 1,Ligand 1 Type,Pre catalyst 2(True or False),Ammount of reactant 1(mmol),Ammount of Molecular Sieve(mg),Reaction Time/h,LED,Pre catalyst 1(True or False),dr 2,Reaction ID,Yield 2,Valence of Central Metal 1,"Other information(use ""-"" to split, eg. 'property1-property2')",Product 2 R or S,Solvent 2 ammount(mL),Type of Coordination Atoms 1,L/M 2,Pressure/atm,Number of Coordination Atoms 2,Valence of Central Metal 2,Type of Coordination Atoms 2,Reaction Time/h step 2,ee 1,S/C 2,Ammount of additive 2 step 2,ee 2,Reaction Type,Product 3 R or S,Solvent Ratio,Ammount of reactant 2(mmol),exo/endo,Type of Coordination Atoms,Number of Coordination Atoms
10,OC1=CC=CC=C1C([H])=O,C1(C2)C=CC2CC1,OC1=CC=CC=C1C([C@@]2([H])C[C@@H]3CC[C@H]2C3)=O,[H][C@@]1(C(C2=CC=CC=C2O)=O)C[C@@H]3CC[C@H]1C3,C=C.C=C.C=C.C=C.[Rh+].[Rh+].[Cl-].[Cl-],[C@@H]1([Fe]C2C(P(C3=CC=CC=C3)C4=CC=CC=C4)=CC=C2)C=CC=C1P(C5=CC=CC=C5)C6=CC=CC=C6,ClCCCl,,O=Cl(=O)([O-])=O.[Ag+],,,10.1002_adsc.200600583,,2.0,10.1002_adsc.200600583,2.0,5,,80,,,,,,,,,0.06,S,,,,,,2.0,0.0,,,Rh,,,0.3,,115.0,,True,,3.0,,1.0,,R,,"P,P",,,,,,,,,,,3.0,,,1.8,95:5,,
11,OC1=CC=CC=C1C([H])=O,C1(C2)C=CC2CC1,OC1=CC=CC=C1C([C@@]2([H])C[C@@H]3CC[C@H]2C3)=O,[H][C@@]1(C(C2=CC=CC=C2O)=O)C[C@@H]3CC[C@H]1C3,C=C.C=C.C=C.C=C.[Rh+].[Rh+].[Cl-].[Cl-],C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=[C@]2[C@]5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8.C9%10=C(C=CC=C%10)C=CC(P(C%11=CC=CC=C%11)C%12=CC=CC=C%12)=[C@]9[C@]%13=C(P(C%14=CC=CC=C%14)C%15=CC=CC=C%15)C=CC%16=C%13C=CC=C%16,ClCCCl,,O=Cl(=O)([O-])=O.[Ag+],,,10.1002_adsc.200600583,,2.0,10.1002_adsc.200600583,2.0,5,,80,,,,,,,,,0.06,S,,,,,,2.0,0.0,,,Rh,,,0.3,,37.0,,True,,4.0,,1.0,,R,,"P,P",,,,,,,,,,,3.0,,,1.8,,,
12,OC1=CC=CC=C1C([H])=O,C1(C2)C=CC2CC1,OC1=CC=CC=C1C([C@@]2([H])C[C@@H]3CC[C@H]2C3)=O,[H][C@@]1(C(C2=CC=CC=C2O)=O)C[C@@H]3CC[C@H]1C3,FB(F)F.C12C=CC(C2)C=C1.C34C=CC(C4)C=C3.[F-].[Rh+],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,ClCCCl,,,,,10.1002_adsc.200600583,,2.0,10.1002_adsc.200600583,3.0,5,,80,,,,,,,,,,S,,,,,0.95,2.0,0.0,,,Rh,,,0.3,,115.0,,True,,5.0,,1.0,,R,,"P,P",,,,,,,,,,,3.0,,,1.8,97:3,,
13,OC1=CC=CC=C1C([H])=O,C1(C2)C=CC2CC1,OC1=CC=CC=C1C([C@@]2([H])C[C@@H]3CC[C@H]2C3)=O,[H][C@@]1(C(C2=CC=CC=C2O)=O)C[C@@H]3CC[C@H]1C3,FB(F)F.C12C=CC(C2)C=C1.C34C=CC(C4)C=C3.[F-].[Rh+],[C@@H]1([Fe]C2C(P(C3=CC=CC=C3)C4=CC=CC=C4)=CC=C2)C=CC=C1P(C5=CC=CC=C5)C6=CC=CC=C6,ClCCCl,,,,,10.1002_adsc.200600583,,2.0,10.1002_adsc.200600583,1.0,5,,80,,,,,,,,,,S,,,,,,2.0,0.0,,,Rh,,,0.3,,115.0,,True,,6.0,,1.0,,R,,"P,P",,,,,,,,,,,3.0,,,1.8,95:5,,
14,OC1=CC=CC=C1C([H])=O,C1(C2)C=CC2CC1,OC1=CC=CC=C1C([C@@]2([H])C[C@@H]3CC[C@H]2C3)=O,[H][C@@]1(C(C2=CC=CC=C2O)=O)C[C@@H]3CC[C@H]1C3,CC(CC(C)=O)=O.C=C.C=C.[Rh],[C@@H]1([Fe]C2C(P(C3=CC=CC=C3)C4=CC=CC=C4)=CC=C2)C=CC=C1P(C5=CC=CC=C5)C6=CC=CC=C6,ClCCCl,,,,,10.1002_adsc.200600583,,2.0,10.1002_adsc.200600583,1.0,5,,80,,,,,,,,,,S,,,,,0.57,2.0,0.0,,,Rh,,,0.3,,115.0,,True,,7.0,,0.0,,R,,"P,P",,,,,,,,,,,3.0,,,1.8,99:1,,
15,OC1=CC=CC=C1C([H])=O,C1(C2)C=CC2CC1,OC1=CC=CC=C1C([C@@]2([H])C[C@@H]3CC[C@H]2C3)=O,[H][C@@]1(C(C2=CC=CC=C2O)=O)C[C@@H]3CC[C@H]1C3,CC(CC(C)=O)=O.C=C.C=C.[Rh],COC1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C1,ClCCCl,,[O-]P([O-])([O-])=O.[K+].[K+].[K+].[K+].[K+].[K+],,,10.1002_adsc.200600583,,2.0,10.1002_adsc.200600583,3.0,5,,80,,,,,,,,,0.06,S,,,,,0.34,2.0,0.0,,,Rh,,,0.3,,62.0,,True,,8.0,,0.0,,R,,"P,P",,,,,,,,,,,3.0,,,1.8,95:5,,
16,OC1=CC=CC=C1C([H])=O,C1(C2)C=CC2C=C1,OC(C=CC=C1)=C1C([C@@]2([H])C[C@H]3C[C@@H]2C=C3)=O,[H][C@@]1(C(C2=C(O)C=CC=C2)=O)C[C@H]3C[C@@H]1C=C3,FB(F)F.C12C=CC(C2)C=C1.C34C=CC(C4)C=C3.[F-].[Rh+],[C@@H]1([Fe]C2C(P(C3=CC=CC=C3)C4=CC=CC=C4)=CC=C2)C=CC=C1P(C5=CC=CC=C5)C6=CC=CC=C6,ClCCCl,,[O-]P([O-])([O-])=O.[K+].[K+].[K+].[K+].[K+].[K+],,,10.1002_adsc.200600583,,2.0,10.1002_adsc.200600583,1.0,5,,80,,,,,,,,,0.06,S,,,,,0.65,2.0,0.0,,,Rh,,,0.3,,70.0,,True,,9.0,,1.0,,R,,"P,P",,,,,,,,,,,3.0,,,1.8,77:23,,
17,OC1=CC=CC=C1C([H])=O,C1(C2)C=CC2C=C1,OC(C=CC=C1)=C1C([C@@]2([H])C[C@H]3C[C@@H]2C=C3)=O,[H][C@@]1(C(C2=C(O)C=CC=C2)=O)C[C@H]3C[C@@H]1C=C3,CC(CC(C)=O)=O.C=C.C=C.[Rh],[C@@H]1([Fe]C2C(P(C3=CC=CC=C3)C4=CC=CC=C4)=CC=C2)C=CC=C1P(C5=CC=CC=C5)C6=CC=CC=C6,ClCCCl,,,,,10.1002_adsc.200600583,,2.0,10.1002_adsc.200600583,1.0,5,,80,,,,,,,,,,S,,,,,0.97,2.0,0.0,,,Rh,,,0.3,,47.0,,True,,10.0,,0.0,,R,,"P,P",,,,,,,,,,,3.0,,,1.8,70:30,,
18,OC1=CC=CC=C1C([H])=O,C1(C2)C=CC2C=C1,OC(C=CC=C1)=C1C([C@@]2([H])C[C@H]3C[C@@H]2C=C3)=O,[H][C@@]1(C(C2=C(O)C=CC=C2)=O)C[C@H]3C[C@@H]1C=C3,CC(CC(C)=O)=O.C=C.C=C.[Rh],[C@@H]1([Fe]C2C(P(C3=CC=CC=C3)C4=CC=CC=C4)=CC=C2)C=CC=C1P(C5=CC=CC=C5)C6=CC=CC=C6,ClCCCl,,[O-]P([O-])([O-])=O.[K+].[K+].[K+].[K+].[K+].[K+],,,10.1002_adsc.200600583,,2.0,10.1002_adsc.200600583,1.0,5,,80,,,,,,,,,0.06,S,,,,,0.5,2.0,0.0,,,Rh,,,0.3,,70.0,,True,,11.0,,0.0,,R,,"P,P",,,,,,,,,,,3.0,,,1.8,85:15,,
19,OC1=CC=CC=C1C([H])=O,C1(C2)C=CC2C=C1,OC(C=CC=C1)=C1C([C@@]2([H])C[C@H]3C[C@@H]2C=C3)=O,[H][C@@]1(C(C2=C(O)C=CC=C2)=O)C[C@H]3C[C@@H]1C=C3,CC(CC(C)=O)=O.C=C.C=C.[Rh],P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,ClCCCl,,[O-]P([O-])([O-])=O.[K+].[K+].[K+].[K+].[K+].[K+],,,10.1002_adsc.200600583,,2.0,10.1002_adsc.200600583,2.0,5,,80,,,,,,,,,0.06,S,,,,,,2.0,0.0,,,Rh,,,0.3,,90.0,,True,,12.0,,0.0,,R,,"P,P",,,,,,,,,,,3.0,,,1.8,50:50,,
