Reaction ID,Reaction Type,Reactant Name 1,Ammount of reactant 1(mmol),Reactant Name 2,Ammount of reactant 2(mmol),Product Name 1,Product Name 2,Product Name 3,Product 1 R or S,Product 2 R or S,Product 3 R or S,Solvent 1,Solvent 2,Solvent Ratio,Solvent 1 ammount(mL),Solvent 2 ammount(mL),Additive 1,Ammount of additive 1,Additive 2,Ammount of additive 2,Additive 1 step 2,Ammount of additive 1 step 2,Additive 2 step 2,Ammount of additive 2 step 2,"Molecular Sieve(3A, 4A, 5A)",Ammount of Molecular Sieve(mg),Pre catalyst 1(True or False),(Pre)Catalyst Name 1,Ligand Name 1,Central Metal of Catalyst 1,Valence of Central Metal 1,Charge of Ligand 1,Ligand 1 Type,Number of Coordination Atoms 1,Type of Coordination Atoms 1,Pre catalyst 2(True or False),(Pre)Catalyst Name 2,Ligand Name 2,Central Metal of Catalyst 2,Valence of Central Metal 2,Charge of Ligand 2,Ligand 2 Type,Number of Coordination Atoms 2,Type of Coordination Atoms 2,Reaction Time/h,Reaction Temperature/C,LED,Reaction Time/h step 2,Reaction Temperature/C step 2,LED step 2,exo/endo,Yield 1,ee 1,Yield 2,ee 2,Yield 3,ee 3,dr 1,dr 2,dr 3,Pressure/atm,S/C 1,S/C 2,L/M 1,L/M 2,Ref.(DOI),pdf name (don't include '.pdf'),"Other information(use ""-"" to split, eg. 'property1-property2')"
34,3,2-hydroxybenzaldehyde,0.3,"bicyclo[2.2.1]hepta-2,5-diene",1.8,"((1R,2S,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone","((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,K3PO4,0.06,,,,,,,,,TRUE,[Rh(acac)(C2H4)2],(S)-8,Rh,0,0,,1,P,,,,,,,,,,90,80,,,,,62:38,0.9,,,,,,,,,,100,,2,,10.1002_adsc.200600583,10.1002_adsc.200600583,
35,3,2-hydroxybenzaldehyde,0.3,"bicyclo[2.2.1]hepta-2,5-diene",1.8,"((1R,2S,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone","((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,,,,,,,,,,,TRUE,[Rh(acac)(C2H4)2],(S)-8,Rh,0,0,,1,P,,,,,,,,,,1,80,,,,,2:98,0.87,,,0.35,,,,,,,20,,2,,10.1002_adsc.200600583,10.1002_adsc.200600583,
36,3,2-hydroxybenzaldehyde,0.3,"bicyclo[2.2.1]hepta-2,5-diene",1.8,"((1R,2S,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone","((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,K3PO4,0.06,,,,,,,,,TRUE,[Rh(acac)(C2H4)2],(S)-8,Rh,0,0,,1,P,,,,,,,,,,19,25,,,,,17:83,0.44,,,0.46,,,,,,,5,,2,,10.1002_adsc.200600583,10.1002_adsc.200600583,
37,3,2-hydroxybenzaldehyde,0.3,"bicyclo[2.2.1]hepta-2,5-diene",1.8,"((1R,2S,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone","((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,K3PO4,0.06,,,,,,,,,TRUE,[Rh(acac)(C2H4)2],"(S,R,R)-16",Rh,0,0,,2,"P,N",,,,,,,,,,20,80,,,,,57:43,0.81,,,-0.06,,,,,,,5,,2,,10.1002_adsc.200600583,10.1002_adsc.200600583,
38,3,2-hydroxybenzaldehyde,0.3,"bicyclo[2.2.1]hepta-2,5-diene",1.8,"((1R,2S,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone","((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,K3PO4,0.06,,,,,,,,,TRUE,[Rh(acac)(C2H4)2],"(S,S,S)-16",Rh,0,0,,2,"P,N",,,,,,,,,,15,80,,,,,56:44,0.93,,,0.19,,,,,,,5,,2,,10.1002_adsc.200600583,10.1002_adsc.200600583,
39,3,2-hydroxybenzaldehyde,0.3,"bicyclo[2.2.1]hepta-2,5-diene",1.8,"((1R,2S,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone","((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,,,,,,,,,,,TRUE,[Rh(acac)(C2H4)2],(R)-21,Rh,0,0,,2,"P,N",,,,,,,,,,2,80,,,,,3:97,0.99,,,-0.13,,,,,,,20,,2,,10.1002_adsc.200600583,10.1002_adsc.200600583,
40,3,2-hydroxybenzaldehyde,0.3,"bicyclo[2.2.1]hepta-2,5-diene",1.8,"((1R,2S,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone","((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,,,,,,,,,,,TRUE,[Rh(acac)(C2H4)2],(R)-22,Rh,0,0,,2,"P,N",,,,,,,,,,2,80,,,,,4:96,0.96,,,0.1,,,,,,,20,,2,,10.1002_adsc.200600583,10.1002_adsc.200600583,
41,3,2-hydroxybenzaldehyde,0.3,"bicyclo[2.2.1]hepta-2,5-diene",1.8,"((1R,2S,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone","((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,K3PO4,0.06,,,,,,,,,TRUE,[Rh(acac)(C2H4)2],(R)-17,Rh,0,0,,2,"P,N",,,,,,,,,,5,80,,,,,45:55,0.96,,,0.32,,,,,,,5,,2,,10.1002_adsc.200600583,10.1002_adsc.200600583,
42,3,2-hydroxybenzaldehyde,0.3,"bicyclo[2.2.1]hepta-2,5-diene",1.8,"((1R,2S,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone","((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,K3PO4,0.06,,,,,,,,,TRUE,[Rh(nbd)2BF4],(R)-17,Rh,1,0,,2,"P,N",,,,,,,,,,19,25,,,,,14:86,0.73,,,0.41,,,,,,,5,,2,,10.1002_adsc.200600583,10.1002_adsc.200600583,
43,3,2-hydroxybenzaldehyde,0.3,"bicyclo[2.2.1]hepta-2,5-diene",1.8,"((1R,2S,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone","((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,,,,,,,,,,,TRUE,[Rh(acac)(C2H4)2],(R)-18,Rh,0,0,,2,"P,N",,,,,,,,,,14,80,,,,,30:70,0.91,,,0.18,,,,,,,20,,2,,10.1002_adsc.200600583,10.1002_adsc.200600583,
